Post;Answer 
1 ; 509
2 ; 1238
3 ; 104
6 ; 537
7 ; 17
10 ; 38
12 ; 394
15 ; 152
16 ; 22
21 ; 32
23 ; 34
26 ; 493
30 ; 41
33 ; 46
35 ; 61
40 ; 83
42 ; 101
44 ; 84
45 ; 132
47 ; 69
52 ; 68
54 ; 73
56 ; 66
57 ; 80
59 ; 70
60 ; 107
62 ; 4300
64 ; 5921
79 ; 151
86 ; 102
88 ; 176
89 ; 211
95 ; 117
96 ; 110
99 ; 134
100 ; 108
111 ; 135
121 ; 131
140 ; 158
155 ; 1651
159 ; 183
160 ; 4384
164 ; 168
182 ; 188
190 ; 471
192 ; 201
198 ; 250
213 ; 268
214 ; 287
219 ; 253
222 ; 686
234 ; 240
235 ; 244
238 ; 1554
252 ; 390
254 ; 279
259 ; 557
261 ; 281
262 ; 355
266 ; 8156
271 ; 4050
283 ; 361
285 ; 334
292 ; 295
299 ; 301
307 ; 5865
309 ; 5413
313 ; 455
331 ; 366
344 ; 386
348 ; 364
351 ; 452
382 ; 3107
397 ; 410
398 ; 11780
400 ; 3130
403 ; 415
412 ; 431
416 ; 886
420 ; 532
423 ; 459
428 ; 488
433 ; 523
446 ; 456
449 ; 987
450 ; 813
457 ; 498
461 ; 478
463 ; 797
465 ; 2192
468 ; 494
477 ; 506
480 ; 490
504 ; 1330
505 ; 535
516 ; 792
517 ; 540
518 ; 1592
527 ; 945
531 ; 1190
538 ; 2650
544 ; 1454
564 ; 575
570 ; 960
580 ; 27759
581 ; 611
589 ; 12800
591 ; 2795
593 ; 773
599 ; 642
606 ; 676
612 ; 628
614 ; 2473
646 ; 704
651 ; 662
652 ; 776
657 ; 6213
667 ; 3643
699 ; 717
701 ; 4033
710 ; 738
712 ; 63272
718 ; 790
720 ; 807
723 ; 754
727 ; 742
737 ; 1333
743 ; 771
767 ; 8539
782 ; 786
789 ; 2782
801 ; 17572
803 ; 863
812 ; 921
823 ; 3409
832 ; 846
844 ; 853
850 ; 13713
851 ; 857
855 ; 1211
868 ; 882
870 ; 941
874 ; 881
875 ; 2139
883 ; 903
887 ; 908
893 ; 958
894 ; 1013
895 ; 932
898 ; 3724
904 ; 22645
905 ; 922
906 ; 911
917 ; 39425
918 ; 949
919 ; 927
923 ; 977
928 ; 4568
929 ; 933
944 ; 6439
948 ; 1204
955 ; 979
959 ; 992
961 ; 1002
963 ; 1000
973 ; 22171
989 ; 1132
990 ; 5739
996 ; 1082
1001 ; 1661
1011 ; 1199
1014 ; 1056
1028 ; 1042
1039 ; 3781
1040 ; 1088
1044 ; 1354
1045 ; 1130
1058 ; 1196
1075 ; 1105
1077 ; 4557
1094 ; 12277
1108 ; 1134
1117 ; 1135
1119 ; 1150
1137 ; 33912
1142 ; 1178
1145 ; 1431
1152 ; 5585
1157 ; 1184
1161 ; 1221
1186 ; 1263
1191 ; 1197
1203 ; 1334
1214 ; 1262
1217 ; 5895
1219 ; 4521
1240 ; 1289
1249 ; 1258
1250 ; 1270
1252 ; 1255
1259 ; 1273
1267 ; 3820
1274 ; 1616
1276 ; 3617
1279 ; 18851
1294 ; 2871
1317 ; 2406
1327 ; 1339
1329 ; 1340
1336 ; 1347
1362 ; 1388
1374 ; 1391
1385 ; 3182
1392 ; 1494
1403 ; 1432
1405 ; 6739
1406 ; 1419
1408 ; 1459
1412 ; 3264
1421 ; 1426
1423 ; 1443
1436 ; 1458
1439 ; 1442
1441 ; 3530
1448 ; 1450
1457 ; 1463
1467 ; 1475
1470 ; 1471
1473 ; 1489
1482 ; 4327
1486 ; 1501
1496 ; 1511
1500 ; 1503
1506 ; 3533
1508 ; 6462
1514 ; 1538
1522 ; 2015
1523 ; 1548
1529 ; 5023
1530 ; 3447
1532 ; 1560
1571 ; 2872
1573 ; 1611
1575 ; 1579
1578 ; 2664
1590 ; 1635
1596 ; 2372
1597 ; 1628
1599 ; 1647
1618 ; 4588
1625 ; 1766
1645 ; 3267
1649 ; 1662
1653 ; 23901
1655 ; 2608
1659 ; 1673
1660 ; 1672
1664 ; 1680
1668 ; 1729
1669 ; 1670
1687 ; 1694
1697 ; 1771
1701 ; 1718
1711 ; 1715
1717 ; 1719
1721 ; 1726
1723 ; 1736
1728 ; 2301
1731 ; 2210
1735 ; 3835
1745 ; 2217
1750 ; 1754
1772 ; 4555
1779 ; 2090
1781 ; 2049
1782 ; 3935
1788 ; 1807
1790 ; 1837
1793 ; 1798
1797 ; 1816
1802 ; 1821
1808 ; 3286
1815 ; 20456
1817 ; 10930
1831 ; 4576
1834 ; 1847
1841 ; 1885
1845 ; 1993
1855 ; 1870
1859 ; 1861
1874 ; 2296
1887 ; 1997
1895 ; 2012
1907 ; 1911
1910 ; 1916
1914 ; 4038
1921 ; 3392
1922 ; 1944
1923 ; 2152
1924 ; 1932
1933 ; 2008
1948 ; 1976
1953 ; 1977
1954 ; 2028
1956 ; 1967
1968 ; 1996
2003 ; 2052
2014 ; 2020
2016 ; 2021
2030 ; 2032
2033 ; 2047
2058 ; 2435
2067 ; 2102
2071 ; 2073
2083 ; 5494
2084 ; 2130
2089 ; 2099
2095 ; 6619
2106 ; 2116
2107 ; 2114
2113 ; 2123
2121 ; 2131
2127 ; 2141
2128 ; 2209
2145 ; 2149
2148 ; 2153
2163 ; 2207
