Post;Answer 
1 ; 116
2 ; 31433
3 ; 8
5 ; 14
6 ; 11
9 ; 16
13 ; 44
18 ; 33
21 ; 89
23 ; 33322
24 ; 92
43 ; 177
45 ; 159
46 ; 122
48 ; 49
50 ; 112
52 ; 285
53 ; 126172
60 ; 69
62 ; 528
65 ; 72
70 ; 74
71 ; 258
76 ; 81
77 ; 79
82 ; 107
83 ; 86
85 ; 105
91 ; 93
97 ; 101
106 ; 126
109 ; 111
119 ; 182
124 ; 138
127 ; 147
128 ; 187
129 ; 135
136 ; 153
137 ; 1380
143 ; 156
154 ; 155
158 ; 179
169 ; 172
171 ; 399
174 ; 185
175 ; 275
183 ; 623
186 ; 188
194 ; 237
195 ; 201
206 ; 209
207 ; 221
211 ; 45485
214 ; 347
218 ; 227
219 ; 232
222 ; 226
239 ; 241
247 ; 253
248 ; 256
251 ; 294
261 ; 269
266 ; 287
268 ; 270
272 ; 280
273 ; 292
277 ; 278
288 ; 982
290 ; 291
293 ; 661
295 ; 376
296 ; 298
301 ; 313
307 ; 339
308 ; 337
317 ; 422
319 ; 320
324 ; 1886
346 ; 425
351 ; 357
352 ; 360
361 ; 371
372 ; 384
373 ; 374
377 ; 385
381 ; 386
390 ; 393
391 ; 400
411 ; 429
420 ; 482
423 ; 450
436 ; 439
441 ; 442
444 ; 448
452 ; 453
456 ; 672
458 ; 460
461 ; 464
462 ; 463
465 ; 467
468 ; 645
469 ; 3212
477 ; 479
478 ; 480
483 ; 488
487 ; 494
489 ; 499
496 ; 649
500 ; 501
504 ; 512
506 ; 510
515 ; 543
522 ; 527
530 ; 532
531 ; 537
535 ; 540
536 ; 538
547 ; 552
556 ; 562
558 ; 563
566 ; 579
569 ; 571
573 ; 584
575 ; 576
577 ; 585
578 ; 582
589 ; 590
591 ; 592
594 ; 947
596 ; 607
597 ; 599
609 ; 612
628 ; 629
635 ; 643
646 ; 648
651 ; 652
654 ; 669
656 ; 799
662 ; 671
665 ; 667
668 ; 749
676 ; 678
677 ; 686
687 ; 694
691 ; 692
693 ; 697
695 ; 696
698 ; 699
703 ; 711
704 ; 706
707 ; 710
712 ; 714
715 ; 730
721 ; 722
724 ; 786
733 ; 772
737 ; 739
738 ; 770
741 ; 761
757 ; 758
759 ; 766
763 ; 764
774 ; 775
776 ; 777
779 ; 781
780 ; 790
784 ; 787
791 ; 812
798 ; 800
801 ; 803
805 ; 818
807 ; 815
809 ; 1260
819 ; 827
828 ; 872
829 ; 839
830 ; 832
835 ; 888
841 ; 843
844 ; 904
845 ; 848
852 ; 855
854 ; 856
858 ; 873
859 ; 877
860 ; 861
879 ; 937
889 ; 890
895 ; 915
907 ; 912
916 ; 918
917 ; 929
920 ; 927
921 ; 922
928 ; 934
933 ; 942
939 ; 941
944 ; 945
951 ; 952
953 ; 954
956 ; 962
958 ; 970
960 ; 964
972 ; 984
986 ; 987
990 ; 2633
994 ; 1003
995 ; 998
1002 ; 1086
1007 ; 1008
1014 ; 1026
1017 ; 1018
1019 ; 1020
1021 ; 1024
1030 ; 1031
1033 ; 1036
1034 ; 1081
1037 ; 1038
1039 ; 1042
1051 ; 1065
1053 ; 1056
1054 ; 1070
1058 ; 1061
1059 ; 1060
1064 ; 1501
1069 ; 1072
1071 ; 1133
1085 ; 1148
1092 ; 1096
1097 ; 1104
1107 ; 1118
1113 ; 30526
1115 ; 1116
1121 ; 1139
1123 ; 1706
1138 ; 1144
1140 ; 1143
1151 ; 1154
1162 ; 1167
1168 ; 1170
1169 ; 1171
1174 ; 1180
1177 ; 1212
1178 ; 1183
1195 ; 1207
1197 ; 1375
1198 ; 1244
1200 ; 1308
1209 ; 1211
1210 ; 1217
1216 ; 1222
1218 ; 1221
1230 ; 1250
1233 ; 1234
1235 ; 1264
1236 ; 1917
1238 ; 1291
1242 ; 10925
1248 ; 1252
1251 ; 1253
1270 ; 1278
1274 ; 1285
1276 ; 1277
1279 ; 1288
1283 ; 1302
1293 ; 1334
1294 ; 1295
1300 ; 1304
1303 ; 1307
1309 ; 1310
1314 ; 1348
1316 ; 1318
1319 ; 1329
1320 ; 1712
1327 ; 1328
1330 ; 1332
1339 ; 1342
1343 ; 1344
1352 ; 1692
1353 ; 1356
1359 ; 1373
1364 ; 1365
1366 ; 1368
1390 ; 1402
1392 ; 1398
1395 ; 1407
1396 ; 1409
1397 ; 1399
1400 ; 1438
1401 ; 1434
1403 ; 1406
1413 ; 1425
1416 ; 1423
1421 ; 1422
1426 ; 1428
1439 ; 1440
1444 ; 1448
1445 ; 1472
1447 ; 1451
1449 ; 1916
1450 ; 1452
1456 ; 1465
1457 ; 1461
1459 ; 1495
1463 ; 4012
1468 ; 1470
1469 ; 1471
1473 ; 1475
1474 ; 1478
1476 ; 1697
1479 ; 1494
1481 ; 1505
1482 ; 4341
1483 ; 1485
1484 ; 1491
1488 ; 1489
1496 ; 2724
1504 ; 1625
1507 ; 1509
1508 ; 1518
1515 ; 1555
1521 ; 1524
1526 ; 1527
1535 ; 1536
1542 ; 1593
1544 ; 1545
1546 ; 1562
1549 ; 1559
1551 ; 1557
1552 ; 1589
1560 ; 1574
1563 ; 1696
1564 ; 1586
1575 ; 1582
1577 ; 1581
1578 ; 1579
1580 ; 1584
1596 ; 1598
1597 ; 1819
1604 ; 1618
1607 ; 1631
1611 ; 1612
1616 ; 1617
1620 ; 1642
1624 ; 1627
1629 ; 1630
1634 ; 1641
1635 ; 1640
1643 ; 1651
1644 ; 1670
1646 ; 1647
1649 ; 1650
1653 ; 169867
1659 ; 1662
1660 ; 1661
1665 ; 1666
1668 ; 1695
1675 ; 1689
1677 ; 1678
1679 ; 1681
1680 ; 3682
1684 ; 2586
1705 ; 2285
1707 ; 1708
1714 ; 1715
1718 ; 1723
1727 ; 1729
1728 ; 1731
1732 ; 1735
1733 ; 4132
