Post;Up;Down;Total
1;13;1;12
2;5;0;5
3;4;0;4
4;1;1;0
5;7;0;7
6;4;0;4
8;3;0;3
9;4;0;4
10;5;0;5
11;6;0;6
12;2;0;2
13;51;0;51
14;12;0;12
15;20;0;20
16;7;0;7
18;3;0;3
19;4;0;4
20;4;0;4
21;14;0;14
22;3;0;3
23;5;0;5
24;9;0;9
25;8;0;8
26;4;2;2
27;0;1;-1
29;25;2;23
30;4;1;3
31;20;0;20
32;1;2;-1
33;1;0;1
34;3;0;3
35;7;1;6
36;9;1;8
37;1;1;0
38;1;0;1
39;3;0;3
40;2;0;2
41;4;2;2
42;0;1;-1
43;7;0;7
44;23;0;23
45;30;0;30
46;13;0;13
47;1;0;1
48;16;0;16
49;15;1;14
50;11;0;11
51;2;0;2
52;1;0;1
53;4;0;4
54;2;0;2
55;1;0;1
56;4;0;4
57;1;0;1
58;1;0;1
59;2;0;2
60;1;0;1
61;6;0;6
62;2;0;2
64;1;0;1
65;17;0;17
66;11;0;11
68;3;0;3
69;6;0;6
70;19;0;19
71;2;2;0
72;12;0;12
73;7;0;7
74;21;0;21
75;5;0;5
76;6;0;6
77;6;0;6
78;2;0;2
79;6;0;6
80;1;0;1
81;3;0;3
82;12;0;12
83;12;0;12
85;2;0;2
86;9;0;9
87;3;1;2
88;6;0;6
89;16;0;16
90;6;0;6
91;4;0;4
92;12;0;12
93;4;0;4
95;1;0;1
96;2;0;2
97;5;0;5
99;7;0;7
100;13;0;13
101;8;0;8
103;3;0;3
104;6;0;6
105;1;0;1
106;33;0;33
107;14;0;14
108;2;0;2
109;2;0;2
110;9;1;8
111;2;0;2
112;3;0;3
113;1;0;1
114;2;0;2
115;1;0;1
116;20;0;20
117;4;0;4
118;5;0;5
119;131;0;131
121;2;0;2
122;20;0;20
123;2;0;2
124;3;0;3
125;0;4;-4
126;19;0;19
127;2;0;2
128;100;1;99
129;4;0;4
130;5;0;5
131;5;1;4
132;3;1;2
133;6;0;6
134;7;0;7
135;2;0;2
136;5;0;5
137;3;0;3
138;4;0;4
139;5;1;4
140;1;0;1
142;3;0;3
143;5;0;5
144;0;2;-2
145;29;0;29
146;1;1;0
147;3;0;3
148;3;0;3
150;16;0;16
151;2;0;2
152;6;0;6
153;5;2;3
154;1;0;1
155;2;0;2
156;10;0;10
157;4;0;4
158;11;0;11
159;51;0;51
160;4;0;4
161;4;0;4
162;24;0;24
163;13;0;13
164;2;0;2
165;2;0;2
167;0;1;-1
168;5;0;5
170;2;0;2
172;1;0;1
173;1;1;0
174;2;0;2
175;7;0;7
177;5;0;5
178;2;0;2
179;4;0;4
180;2;1;1
181;2;0;2
182;79;0;79
183;1;0;1
184;2;0;2
185;6;0;6
186;5;0;5
187;103;0;103
188;15;0;15
190;1;0;1
191;2;1;1
192;2;0;2
193;3;0;3
194;6;0;6
195;1;0;1
196;4;0;4
197;2;0;2
198;2;0;2
199;57;0;57
200;11;0;11
201;3;0;3
202;4;1;3
203;3;0;3
204;7;0;7
205;19;0;19
206;5;0;5
207;3;0;3
208;2;0;2
209;12;1;11
210;1;0;1
211;30;0;30
212;5;0;5
213;5;1;4
214;2;0;2
215;1;0;1
216;2;0;2
217;3;0;3
218;24;0;24
219;5;0;5
220;6;0;6
221;2;0;2
222;36;0;36
223;1;1;0
224;1;0;1
226;37;0;37
227;12;0;12
228;2;0;2
229;4;0;4
230;6;0;6
231;5;0;5
232;5;1;4
234;14;0;14
236;2;0;2
237;6;1;5
238;2;1;1
239;2;0;2
240;2;0;2
241;4;0;4
242;2;0;2
243;4;0;4
244;3;3;0
245;3;0;3
247;2;0;2
248;8;0;8
249;1;0;1
250;7;0;7
251;1;0;1
252;1;0;1
253;3;0;3
256;7;0;7
257;4;0;4
258;2;0;2
259;1;0;1
260;4;0;4
261;20;0;20
262;2;0;2
263;6;0;6
264;2;0;2
265;5;0;5
266;40;0;40
267;1;0;1
268;2;0;2
269;14;0;14
270;3;0;3
271;1;0;1
272;6;0;6
273;1;0;1
274;2;0;2
275;4;0;4
277;5;0;5
278;2;0;2
279;3;0;3
280;9;0;9
281;14;0;14
285;1;0;1
286;3;0;3
287;8;0;8
288;1;0;1
289;3;0;3
290;12;0;12
291;18;0;18
292;3;0;3
293;6;0;6
294;1;0;1
295;5;0;5
297;1;0;1
298;3;0;3
299;8;1;7
301;3;0;3
302;3;1;2
303;1;0;1
304;1;0;1
305;1;0;1
306;4;0;4
307;27;0;27
309;10;0;10
310;2;0;2
311;1;0;1
312;1;0;1
313;3;0;3
314;1;0;1
316;1;1;0
317;5;1;4
318;5;1;4
319;2;0;2
320;9;0;9
321;8;0;8
322;10;0;10
323;3;0;3
324;53;0;53
325;1;0;1
326;10;0;10
328;1;0;1
329;6;1;5
330;2;0;2
331;12;0;12
336;1;0;1
337;2;0;2
338;4;0;4
339;32;0;32
340;22;0;22
342;1;0;1
343;8;1;7
344;2;0;2
345;5;0;5
346;5;0;5
347;2;0;2
348;2;0;2
350;1;0;1
351;6;0;6
352;10;0;10
353;1;0;1
354;1;0;1
355;1;1;0
356;2;0;2
357;8;0;8
358;2;0;2
359;0;1;-1
360;6;0;6
361;5;0;5
362;2;0;2
364;7;0;7
366;1;0;1
367;2;0;2
368;1;0;1
369;1;0;1
370;3;1;2
371;7;0;7
372;2;0;2
373;6;0;6
374;5;0;5
375;2;0;2
376;6;0;6
377;2;0;2
378;4;1;3
379;1;0;1
380;2;0;2
381;12;0;12
382;3;0;3
384;4;0;4
385;4;0;4
386;26;0;26
388;8;0;8
389;2;0;2
390;3;0;3
391;2;0;2
392;3;0;3
393;15;0;15
394;1;0;1
395;18;1;17
396;5;0;5
397;1;0;1
398;1;0;1
399;4;0;4
400;5;0;5
401;4;1;3
402;1;0;1
403;3;0;3
404;3;0;3
405;1;0;1
408;2;0;2
409;6;0;6
411;1;0;1
414;3;0;3
417;3;0;3
419;2;0;2
420;10;0;10
421;3;0;3
422;2;0;2
423;13;0;13
425;6;0;6
427;13;0;13
428;1;0;1
429;3;0;3
430;4;1;3
433;2;0;2
434;1;5;-4
435;3;1;2
436;15;0;15
439;15;0;15
441;9;0;9
442;8;0;8
443;1;0;1
444;11;0;11
446;1;0;1
447;9;2;7
448;14;0;14
449;1;0;1
450;8;0;8
451;4;0;4
453;3;0;3
454;1;0;1
455;1;0;1
456;1;0;1
458;4;0;4
459;3;0;3
460;3;0;3
461;10;0;10
462;2;0;2
463;9;0;9
464;5;0;5
465;5;0;5
466;8;0;8
467;11;1;10
468;5;0;5
469;5;0;5
471;7;0;7
472;1;0;1
474;2;0;2
476;5;0;5
477;12;0;12
478;7;0;7
