User;WordCountAboutMe 
-1 ; 91
1 ; 122
2 ; 41
3 ; 71
4 ; 110
21 ; 25
22 ; 25
24 ; 17
25 ; 23
27 ; 18
28 ; 18
30 ; 2
31 ; 0
32 ; 33
33 ; 1
34 ; 22
35 ; 2
36 ; 32
38 ; 45
39 ; 9
40 ; 19
41 ; 71
42 ; 2
43 ; 3
44 ; 17
45 ; 133
46 ; 14
47 ; 12
48 ; 65
49 ; 0
50 ; 77
51 ; 104
52 ; 6
53 ; 25
54 ; 12
55 ; 0
56 ; 24
57 ; 2
58 ; 147
60 ; 0
62 ; 2
63 ; 9
66 ; 23
69 ; 34
72 ; 57
73 ; 10
74 ; 32
75 ; 111
76 ; 81
77 ; 0
78 ; 0
79 ; 110
80 ; 12
81 ; 67
84 ; 6
85 ; 21
86 ; 52
87 ; 63
88 ; 25
89 ; 78
91 ; 33
94 ; 29
95 ; 4
96 ; 33
97 ; 1
98 ; 10
99 ; 39
100 ; 0
102 ; 33
103 ; 126
104 ; 3
105 ; 16
106 ; 131
107 ; 17
108 ; 3
109 ; 10
110 ; 0
111 ; 5
112 ; 25
113 ; 50
114 ; 14
115 ; 4
116 ; 133
117 ; 73
119 ; 0
120 ; 0
121 ; 5
122 ; 51
123 ; 7
124 ; 29
127 ; 54
129 ; 12
130 ; 98
131 ; 4
132 ; 80
133 ; 5
134 ; 0
135 ; 0
136 ; 22
137 ; 128
138 ; 9
139 ; 86
140 ; 0
141 ; 0
142 ; 5
144 ; 40
145 ; 5
146 ; 0
147 ; 60
148 ; 0
149 ; 22
150 ; 1
151 ; 97
152 ; 0
153 ; 10
154 ; 67
155 ; 5
156 ; 95
158 ; 5
159 ; 0
160 ; 2
162 ; 10
164 ; 77
165 ; 43
167 ; 118
168 ; 0
171 ; 9
172 ; 1
173 ; 132
175 ; 12
176 ; 5
177 ; 71
178 ; 18
179 ; 201
180 ; 32
181 ; 109
182 ; 27
183 ; 18
186 ; 27
187 ; 10
190 ; 33
191 ; 2
192 ; 17
194 ; 83
195 ; 13
196 ; 43
197 ; 25
198 ; 13
199 ; 71
200 ; 45
202 ; 27
204 ; 42
