User;WordCountAboutMe 
275053;12
275038;9
275036;17
275033;8
275027;76
275025;8
275019;27
275012;27
275005;3
274997;26
274996;12
274987;6
274982;12
274980;15
274977;6
274974;51
274972;124
274945;3
274941;0
274936;15
274891;67
274882;4
274869;14
274860;11
274846;0
274845;35
274829;30
274810;18
274781;5
274771;6
274769;27
274764;22
274758;6
274745;15
274734;9
274721;0
274717;71
274711;0
274697;42
274676;10
274674;19
274657;18
274630;136
274620;0
274601;41
274590;0
274576;0
274544;53
274512;6
274500;5
274496;45
274487;44
274465;0
274463;24
274453;3
274452;32
274431;9
274424;7
274414;24
274393;4
274382;0
274378;132
274373;50
274361;8
274351;15
274348;12
274342;16
274339;2
274303;70
274287;0
274267;29
274266;4
274265;6
274264;3
274262;7
274257;35
274255;29
274251;174
274248;16
274246;54
274245;214
274238;189
274231;8
274215;29
274202;10
274193;43
274188;6
274187;22
274174;8
274150;2
274143;9
274122;6
274121;80
274105;3
274091;11
274086;5
274074;19
274069;0
274064;29
274041;0
274033;4
274026;152
274017;3
273982;10
273978;11
273973;8
273972;19
273951;28
273939;34
273935;0
273932;8
273925;5
273920;111
273910;13
273908;11
273902;18
273898;8
273897;13
273892;163
273888;0
273878;58
273766;8
273760;90
273756;15
273739;47
273736;16
273721;11
273709;15
273705;3
273703;10
273696;7
273682;18
273680;15
273675;22
273670;4
273657;0
273656;0
273645;362
273640;12
273626;10
273625;5
273608;12
273603;16
273600;0
273595;4
273593;0
273554;229
273552;52
273550;8
273539;48
273522;114
273511;4
273504;217
273503;6
273497;5
273475;115
273474;0
273471;48
273442;24
273436;14
273411;20
273402;144
273395;4
273384;135
273374;10
273370;25
273360;8
273358;3
273349;29
273345;133
273342;7
273341;26
273328;5
273325;18
273320;16
273315;0
273310;3
273307;6
273293;8
273290;174
273284;75
273277;0
273271;14
273267;43
273265;5
273259;6
273207;20
273197;44
273194;160
273185;12
273174;10
273152;81
273148;10
273146;10
273141;0
273101;14
273096;11
273086;8
273085;19
273071;8
273069;26
273063;10
273057;45
273050;13
273045;43
273040;45
273021;13
272981;51
272979;0
272973;5
272952;6
272950;8
272949;5
272940;5
272935;4
272926;28
272925;35
272918;16
272915;7
272907;22
272893;36
272879;24
272868;2
272862;10
272851;48
272832;29
272830;9
272820;12
272814;7
272810;0
272802;30
272787;2
272786;8
272774;4
272773;78
272769;8
272755;86
272695;4
272689;12
272684;19
272683;4
272679;0
272678;67
272669;15
272663;9
272661;6
272648;27
272640;7
272638;4
272625;15
272624;20
272618;8
272605;0
272604;40
272597;5
272595;68
272582;30
272578;32
272522;29
272509;6
272507;71
272500;4
272487;10
272473;17
272470;17
272450;0
272437;13
272423;19
272418;4
272414;12
272405;120
272392;0
272390;9
272387;65
272371;35
272366;0
272344;32
272319;18
272289;25
272287;0
272283;10
272276;41
272258;9
272252;6
272247;8
272243;19
272240;6
272238;97
272228;6
272227;49
272212;25
272207;7
272198;0
272197;0
272183;16
272179;42
273246;24
272166;2
272156;33
272125;9
272114;0
272111;0
272103;0
272089;30
272085;38
272079;3
272073;0
272036;0
272024;7
272021;14
271987;6
271974;58
271967;7
271958;0
271955;17
271953;130
271940;78
271937;25
271934;24
271933;6
271932;18
271904;4
271903;6
271902;22
271897;64
271896;85
271893;5
271892;16
271885;10
271871;0
271870;11
271865;20
271860;0
270855;51
270843;5
270840;7
270838;27
270835;127
270829;49
272561;16
270828;13
270820;6
270802;0
270800;73
270794;15
270781;0
270774;23
270765;40
270764;8
270760;46
270755;10
270715;8
270712;17
270711;12
270708;22
270703;22
270692;9
270691;128
270678;15
270672;11
270661;0
270660;31
270657;5
270654;23
270642;0
270633;8
270620;108
270609;9
270587;11
270580;74
270577;4
270566;92
270555;0
270549;6
270546;11
270544;8
270536;35
270529;195
270507;9
270504;48
270501;18
270498;30
270493;23
270492;75
270484;108
270482;14
270480;74
270470;5
270460;4
270456;13
270427;5
270423;2
270422;39
270420;20
270416;18
270409;63
270394;19
270382;4
270361;3
270352;102
270351;43
270333;0
270324;25
270313;5
270312;10
270306;24
270301;29
270297;7
270280;5
270279;19
270278;10
270259;2
270242;6
270239;31
270225;208
270218;30
270207;88
270198;11
270197;10
270196;19
270185;59
270178;23
270169;6
270157;9
270154;123
270153;9
270141;47
270140;4
270091;11
270086;11
270075;0
270069;59
270060;5
270059;8
