User;WordCountAboutMe 
-1 ; 91
2 ; 58
3 ; 41
4 ; 38
5 ; 15
7 ; 42
8 ; 86
9 ; 18
10 ; 25
11 ; 50
12 ; 76
13 ; 2
14 ; 9
15 ; 36
16 ; 28
18 ; 8
19 ; 13
20 ; 0
22 ; 3
23 ; 8
24 ; 29
25 ; 0
27 ; 15
28 ; 27
29 ; 84
30 ; 13
31 ; 8
32 ; 14
33 ; 7
34 ; 46
35 ; 10
36 ; 124
38 ; 131
43 ; 26
44 ; 125
45 ; 8
46 ; 107
48 ; 18
50 ; 49
51 ; 13
52 ; 0
55 ; 11
56 ; 0
57 ; 13
58 ; 21
59 ; 14
60 ; 273
61 ; 8
62 ; 197
63 ; 42
65 ; 65
67 ; 72
68 ; 92
69 ; 21
70 ; 0
71 ; 13
72 ; 11
73 ; 172
75 ; 18
77 ; 4
78 ; 59
80 ; 12
81 ; 31
82 ; 19
83 ; 34
84 ; 446
86 ; 118
87 ; 39
89 ; 163
90 ; 10
91 ; 6
92 ; 206
94 ; 123
97 ; 21
98 ; 16
99 ; 19
101 ; 0
103 ; 40
104 ; 134
105 ; 88
106 ; 12
107 ; 43
108 ; 18
110 ; 5
113 ; 15
116 ; 30
117 ; 10
118 ; 9
119 ; 50
120 ; 0
121 ; 102
123 ; 12
125 ; 119
127 ; 110
128 ; 20
130 ; 11
131 ; 7
132 ; 14
133 ; 5
134 ; 0
135 ; 10
138 ; 38
141 ; 21
143 ; 5
145 ; 71
147 ; 9
151 ; 5
152 ; 122
154 ; 43
159 ; 0
161 ; 10
162 ; 0
165 ; 49
167 ; 52
170 ; 131
171 ; 5
172 ; 66
173 ; 138
174 ; 36
175 ; 8
177 ; 36
178 ; 16
183 ; 71
184 ; 9
185 ; 0
186 ; 30
187 ; 0
189 ; 15
190 ; 13
191 ; 110
192 ; 101
193 ; 15
194 ; 489
195 ; 84
196 ; 68
197 ; 10
198 ; 66
199 ; 16
200 ; 17
202 ; 0
204 ; 1
205 ; 4
206 ; 41
207 ; 4
209 ; 29
210 ; 22
211 ; 140
212 ; 10
213 ; 39
214 ; 28
215 ; 4
218 ; 6
219 ; 25
220 ; 58
221 ; 9
222 ; 5
223 ; 4
224 ; 8
225 ; 16
226 ; 77
229 ; 4
237 ; 10
239 ; 17
241 ; 30
243 ; 28
244 ; 17
245 ; 6
246 ; 103
247 ; 32
249 ; 19
251 ; 169
252 ; 50
253 ; 10
254 ; 29
255 ; 98
256 ; 137
257 ; 2
258 ; 92
260 ; 20
264 ; 26
266 ; 35
267 ; 5
268 ; 58
270 ; 12
272 ; 63
273 ; 66
275 ; 13
276 ; 18
278 ; 6
279 ; 11
281 ; 7
282 ; 23
283 ; 72
285 ; 10
286 ; 6
287 ; 75
288 ; 90
