User;WordCountAboutMe 
68719;9
68714;9
68691;4
68688;155
68686;0
68682;0
68669;94
68668;0
68666;17
68662;31
68658;5
68657;113
68611;22
68603;10
68599;6
68598;26
68583;30
68580;42
68576;0
68575;0
68571;57
68570;45
68569;0
68568;36
68557;20
68553;84
68537;6
68534;6
68522;14
68695;6
68519;17
68511;6
68505;8
68501;6
68498;7
68480;5
68476;97
68472;39
68470;62
68466;9
68464;20
68459;17
68456;5
68452;73
68450;35
68441;12
68437;6
68436;31
68400;6
68393;7
68392;9
68388;17
68375;5
68366;10
68355;9
68343;25
68342;0
68341;0
68329;237
68326;7
68316;0
68312;57
68310;35
68308;54
68297;12
68285;5
68278;0
68265;3
68251;56
68247;10
68236;35
68233;17
68204;55
68201;0
68200;8
68189;8
68187;9
68160;27
68144;12
68130;27
68117;5
68104;5
68101;46
68097;17
68091;0
68081;16
68079;7
68066;7
68065;25
68054;4
68041;14
68028;4
67999;4
67995;5
67987;89
67984;19
67979;5
67970;59
67956;7
67954;115
67946;23
67942;0
67938;46
67937;15
67935;4
67926;4
67921;7
67916;32
67913;52
67903;5
67899;10
67887;5
67884;0
67869;44
67868;6
67867;20
67864;7
67850;0
67840;7
67834;3
67830;27
67825;24
67822;0
67818;6
67807;60
67783;8
67781;36
67776;0
67775;0
67771;24
67761;11
67752;61
67750;16
67749;91
67741;34
67729;7
67721;27
67717;16
67716;75
67683;51
67679;23
67677;4
67672;0
67645;0
67629;35
67625;11
67607;5
67605;7
67603;25
67601;15
67598;134
67594;0
67588;24
67578;74
67575;6
67571;12
67569;86
67561;9
67540;94
67539;8
67533;17
67532;4
67529;0
67514;7
67473;9
67472;16
67461;0
67460;0
67457;24
67455;64
67441;44
67774;6
67429;13
67408;11
67392;6
67380;26
67379;50
67362;64
67355;0
67351;18
67347;24
67333;9
67328;5
67304;75
67301;0
67299;36
67295;7
67292;9
67280;0
67275;5
67265;4
67262;3
67261;7
67255;13
67249;193
67244;28
67233;6
67231;0
67229;0
67215;21
67213;33
67211;0
67208;11
67205;25
67199;24
67194;18
67183;24
67172;5
67170;13
67168;23
67153;10
67131;13
67126;135
67109;5
67105;46
67102;84
67101;15
67097;15
67088;7
67087;0
67086;13
67077;9
67061;4
67052;0
67048;0
67041;8
67032;7
67031;4
67025;5
67017;4
67010;7
67001;4
66998;35
66997;39
66992;5
66984;85
66976;20
66973;67
66958;31
66952;60
66951;87
66946;4
66939;97
66930;64
66926;14
66924;6
66906;98
66901;6
66896;4
66895;3
66889;49
66876;99
66862;6
66822;5
66821;19
66818;4
66789;9
66788;0
66781;0
66772;14
66770;43
66762;7
66750;0
66745;4
66743;7
66736;5
66730;0
66726;59
66718;10
66716;41
66704;11
66697;474
66685;6
66678;6
66670;3
66664;9
66656;0
66652;15
66651;28
66650;0
66639;17
66629;6
66625;5
66624;21
66618;4
66615;0
66607;12
66598;8
66592;32
66584;7
66581;4
66580;38
66576;30
66572;75
66559;0
66546;12
66543;4
66542;10
66538;76
66535;95
66508;45
66505;15
66483;16
66481;18
66475;11
66472;5
66461;73
66441;0
66439;242
66436;70
66428;16
66422;16
66413;8
