User;Age 
180505;0
180497;0
180496;0
180493;0
180489;1
180485;0
180483;0
180478;1
180472;0
180465;0
180460;0
180459;1
180453;0
180445;0
180444;0
180439;0
180436;0
180435;0
180434;0
180430;0
180428;0
180427;0
180424;0
180423;0
180421;0
180420;1
180415;0
180413;0
180412;-2
180411;0
180409;0
180407;0
180402;5
180401;0
180391;1
180389;0
180387;3
180385;0
180383;0
180378;0
180376;0
180367;0
180365;0
180363;0
180362;0
180357;0
180355;1
180353;0
180350;0
180349;0
180346;1
180345;-3
180342;0
180337;0
180335;0
180334;1
180333;0
180327;0
180325;0
180321;0
180319;0
180317;1
180316;0
180315;0
180314;0
180313;0
180302;0
180301;0
180300;0
180297;0
180292;0
180291;0
180279;0
180274;0
180270;0
180267;2
180266;0
180265;0
180262;0
180257;0
180256;0
180253;0
180251;-1
180249;1
180244;2
180242;0
180240;0
180236;0
180233;0
180232;0
180227;0
180224;1
180222;1
180221;7
180218;3
180211;1
180208;0
180201;1
180198;1
180195;0
180191;0
180189;0
180188;0
180184;0
180183;2
180181;0
180176;0
180173;0
180170;0
180164;0
180162;-2
180161;1
180157;1
180155;0
180154;0
180150;0
180145;0
180144;0
180143;1
180142;0
180137;3
180134;1
180132;0
180131;0
180129;0
180127;0
180125;0
180118;2
180114;0
180112;0
180111;0
180104;-1
180097;0
180086;-1
180083;-1
180079;0
180077;0
180074;0
180072;0
180071;0
180068;0
180064;1
180063;0
180062;0
180061;0
180060;0
180059;0
180056;0
180052;0
180050;3
180047;1
180046;1
180044;0
180042;0
180038;0
180036;0
180035;0
180031;0
180029;1
180027;0
180024;0
180022;0
180020;0
180017;0
180016;1
180012;0
180011;-2
180010;0
180002;0
180001;0
179999;1
179997;-1
179994;0
179993;0
179991;0
179990;0
179987;0
179985;0
179974;0
179972;1
179970;-1
179963;2
179955;-1
179953;-1
179951;0
179950;1
179944;0
179942;0
179940;0
179937;0
179936;1
179935;-1
179934;0
179932;0
179925;1
179917;0
179916;0
179913;0
179908;0
179905;0
179902;0
179899;1
179895;1
179890;0
179889;1
179888;1
179884;0
179882;0
179879;0
179877;0
179876;0
179875;0
179871;0
179869;0
179864;0
179852;0
179849;0
179847;1
179846;0
179845;0
179843;-1
179839;0
179836;0
179834;0
179831;0
179830;1
179827;1
179823;2
179822;1
179821;0
179817;0
179816;0
179815;0
179813;0
179812;0
179809;0
179807;0
179806;0
179805;0
179804;0
179795;1
179793;0
179792;0
179789;-1
179785;0
179784;2
180021;4
179782;-1
179780;0
179776;0
179775;0
179770;0
179769;0
179766;0
179763;-1
179762;0
179759;0
179757;0
179755;1
179754;1
179752;0
179751;0
179750;1
179748;-1
179744;0
179741;0
179740;0
179737;1
179735;0
179729;0
179727;0
179726;1
179724;0
179719;-2
179718;-1
179714;0
179711;0
179710;0
179708;0
179704;-1
179692;0
179691;-2
179683;0
179682;0
179681;-5
179680;-2
179678;-1
179676;0
179673;0
179669;1
179668;0
179666;1
179664;1
179662;1
179660;-1
179657;0
179655;1
179653;0
179648;-6
179644;0
179642;0
179641;0
179640;0
179639;0
179635;0
179632;-1
179631;0
179630;0
179629;0
179628;0
179626;0
179625;0
179624;2
179620;0
179617;0
179616;0
179615;0
179613;2
179612;0
179610;-1
179609;0
179608;0
179604;0
179603;0
179600;0
179598;0
179593;0
179592;0
179590;2
179589;0
179588;1
179586;0
179585;1
179584;0
179579;1
179577;0
179575;-1
179572;0
179569;0
179566;0
179565;0
179556;0
179555;0
179553;1
179550;2
179548;0
179545;2
179543;0
179535;1
179529;0
179528;0
179527;0
179522;0
179521;1
179520;0
179514;0
179498;0
179496;0
179495;0
179493;4
179489;0
179484;0
179480;0
179475;0
179474;0
179468;0
179467;0
179463;0
179460;3
179459;0
179454;0
179451;0
179448;0
179447;1
179445;-1
179444;-1
179439;0
179435;0
179433;0
179430;0
179423;0
179419;0
179409;1
179408;0
179403;0
179401;0
179395;-1
179386;0
179385;0
179384;0
179381;0
179380;1
179376;0
179374;0
179372;0
179370;0
179369;0
179368;0
179367;0
179365;0
179362;1
179357;1
179350;0
179346;0
179337;1
179335;-1
179332;0
179330;2
179329;0
179328;1
179323;0
179320;0
179319;0
179315;0
179314;0
179312;0
179311;0
179309;1
179307;0
179304;1
179303;1
179301;0
179297;0
179294;1
179290;0
179286;0
179285;0
179284;0
179276;0
179275;0
179274;0
179267;1
179263;0
179262;0
179253;0
179249;5
179248;0
179245;1
179237;0
179236;0
179233;0
179231;1
179228;6
179227;-3
179219;0
179217;0
179215;0
