User;Age 
1;12
2;5
3;4
5;7
6;4
7;0
8;3
9;4
10;5
11;6
12;2
13;51
14;12
15;20
16;7
17;0
18;3
19;4
20;4
21;14
22;3
23;5
24;9
25;8
28;0
29;23
31;20
33;1
34;3
35;6
36;8
37;0
38;1
39;3
40;2
41;2
43;7
44;23
45;30
46;13
47;1
48;16
49;14
50;11
51;2
52;1
53;4
54;2
55;1
56;4
57;1
58;1
59;2
60;1
61;6
62;2
63;0
64;1
65;17
66;11
67;0
68;3
69;6
70;19
71;0
72;12
73;7
74;21
75;5
76;6
77;6
78;2
79;6
80;1
81;3
82;12
83;12
84;0
85;2
86;9
87;2
88;6
89;16
90;6
91;4
92;12
93;4
94;0
95;1
96;2
97;5
98;0
99;7
100;13
101;8
102;0
103;3
104;6
105;1
106;33
107;14
109;2
110;8
111;2
112;3
113;1
116;20
118;5
119;131
122;20
123;2
124;3
126;19
127;2
128;99
129;4
130;5
131;4
132;2
133;6
134;7
135;2
136;5
137;3
138;4
139;4
140;1
141;0
142;3
143;5
145;29
146;0
147;3
148;3
149;0
150;16
151;2
152;6
153;3
154;1
155;2
156;10
157;4
158;11
159;51
160;4
161;4
162;24
163;13
164;2
165;2
168;5
169;0
170;2
171;0
172;1
173;0
174;2
175;7
176;0
177;5
178;2
179;4
180;1
182;79
183;1
184;2
185;6
186;5
187;103
188;15
189;0
190;1
191;1
192;2
193;3
194;6
195;1
196;4
197;2
198;2
199;57
200;11
201;3
202;3
203;3
204;7
205;19
206;5
207;3
208;2
209;11
210;1
211;30
212;5
213;4
214;2
215;1
216;2
218;24
219;5
220;6
221;2
222;36
223;0
224;1
225;0
226;37
227;12
228;2
229;4
230;6
231;5
232;4
233;0
234;14
235;0
236;2
237;5
238;1
239;2
240;2
241;4
242;2
243;4
245;3
246;0
247;2
248;8
249;1
250;7
251;1
252;1
253;3
254;0
255;0
256;7
257;4
258;2
259;1
260;4
261;20
262;2
263;6
264;2
265;5
266;40
267;1
268;2
269;14
270;3
271;1
272;6
273;1
274;2
275;4
276;0
277;5
278;2
279;3
280;9
281;14
282;0
283;0
284;0
285;1
286;3
287;8
288;1
289;3
290;12
291;18
292;3
293;6
294;1
295;5
296;0
297;1
298;3
299;7
300;0
301;3
302;2
303;1
304;1
306;4
307;27
308;0
309;10
310;2
311;1
312;1
313;3
314;1
315;0
316;0
317;4
318;4
319;2
320;9
321;8
322;10
323;3
324;53
325;1
326;10
327;0
328;1
329;5
330;2
331;12
332;0
333;0
335;0
336;1
337;2
338;4
339;32
340;22
341;0
342;1
343;7
344;2
345;5
346;5
347;2
348;2
349;0
350;1
351;6
352;10
353;1
354;1
355;0
356;2
357;8
358;2
359;-1
360;6
361;5
362;2
364;7
366;1
367;2
368;1
369;1
370;2
371;7
372;2
373;6
374;5
375;2
376;6
377;2
378;3
379;1
380;2
381;12
382;3
383;0
384;4
385;4
386;26
387;0
388;8
389;2
390;3
391;2
392;3
393;15
394;1
395;17
396;5
397;1
398;1
399;4
400;5
401;3
402;1
403;3
404;3
405;1
406;0
407;0
408;2
409;6
410;0
411;1
412;0
413;0
414;3
415;0
416;0
417;3
418;0
419;2
420;10
421;3
422;2
423;13
424;0
425;6
426;0
427;13
428;1
429;3
430;3
431;0
432;0
433;2
435;2
436;15
438;0
439;15
440;0
441;9
442;8
443;1
444;11
445;0
446;1
447;7
448;14
450;8
451;4
452;0
453;3
454;1
455;1
456;1
457;0
458;4
459;3
460;3
461;10
462;2
463;9
464;5
465;5
466;8
467;10
468;5
469;5
470;0
471;7
472;1
473;0
474;2
475;0
476;5
477;12
478;7
479;19
480;5
481;4
482;5
483;4
484;1
485;1
486;0
487;1
488;2
489;1
490;0
491;1
492;1
493;0
494;2
495;24
496;12
497;1
498;1
499;1
500;1
501;3
502;3
503;3
504;2
505;0
506;5
507;0
508;8
509;1
510;8
511;1
512;2
513;0
514;4
515;11
516;5
517;0
518;1
519;1
520;1
522;3
523;1
524;0
525;7
526;-1
527;3
528;0
529;1
530;2
531;9
532;1
533;0
534;1
535;6
536;5
537;7
538;3
539;3
540;6
541;0
543;12
544;1
545;0
546;8
547;6
548;2
549;0
550;3
551;0
552;7
553;3
554;3
555;7
556;44
558;0
559;2
560;1
561;1
562;60
563;1
564;1
565;2
566;0
567;1
568;1
569;1
571;9
572;1
573;0
574;2
575;2
576;8
577;1
578;74
579;3
581;2
582;93
583;1
584;2
585;1
586;1
587;1
588;3
589;10
590;9
591;7
592;19
593;5
594;3
595;1
596;3
597;5
598;2
599;4
601;-1
602;0
603;1
604;3
605;0
606;1
607;2
608;1
609;0
611;0
612;2
613;1
614;0
615;0
617;29
618;5
619;0
620;3
621;6
622;3
623;2
624;0
625;0
626;1
627;1
628;0
629;1
631;1
632;3
633;3
634;1
635;6
636;2
637;1
638;1
639;12
640;1
641;11
642;0
643;9
644;1
645;4
646;3
647;16
648;2
649;11
650;4
651;5
652;3
653;1
654;4
655;3
656;0
657;0
658;0
659;14
660;2
661;7
662;1
663;4
664;0
665;22
666;0
667;38
668;19
669;1
670;3
671;1
672;0
673;28
674;2
675;1
676;2
677;1
678;3
679;1
680;0
683;4
685;1
686;4
687;2
689;19
690;1
691;18
692;24
693;0
694;1
695;7
696;8
697;3
698;3
699;4
700;5
701;2
702;3
703;4
704;-2
705;0
706;3
707;5
708;1
709;3
710;6
711;8
712;0
713;0
714;1
715;91
716;28
717;22
718;1
719;41
720;2
721;2
722;4
723;2
724;1
725;5
726;1
727;4
728;1
729;6
730;47
731;33
732;2
733;10
734;4
735;14
736;4
737;4
738;6
739;2
740;1
741;0
742;3
743;0
744;3
745;1
746;0
747;27
748;19
749;13
750;3
751;1
752;38
753;8
755;25
756;0
757;0
758;2
759;1
760;1
761;2
762;0
763;3
764;2
765;5
766;4
767;2
768;0
769;2
770;4
771;16
772;11
773;7
774;3
775;4
776;0
777;1
778;0
779;1
780;3
781;2
782;2
783;0
784;3
785;2
786;2
787;7
788;2
789;9
790;5
791;2
793;5
794;10
795;34
797;6
798;1
799;2
800;1
801;2
802;1
803;5
805;3
807;4
808;2
809;3
810;1
811;2
812;2
813;1
814;1
815;5
816;0
818;2
819;2
820;1
821;4
822;2
823;5
824;4
825;2
826;0
827;7
828;10
829;3
830;1
831;-1
832;3
833;1
835;6
836;2
837;0
838;2
839;6
840;2
841;4
843;8
844;3
845;1
846;0
847;0
848;1
849;8
850;0
851;2
852;0
854;1
855;1
856;4
857;3
858;8
859;3
860;1
861;3
862;1
863;2
864;13
865;1
866;2
867;0
868;4
869;12
870;1
871;5
872;7
873;12
874;1
875;2
876;5
877;8
878;1
879;3
880;1
881;0
882;1
883;0
884;8
885;3
886;4
887;7
888;3
889;2
890;1
891;3
893;1
894;2
895;1
896;0
897;1
901;11
903;14
904;2
905;1
906;13
907;6
908;0
909;1
910;0
911;2
912;12
915;2
916;0
917;0
918;1
919;5
920;1
921;0
922;1
923;1
924;1
925;12
926;0
927;1
928;3
929;2
930;2
931;1
932;0
933;1
934;2
935;0
936;1
937;0
938;1
939;5
940;0
941;5
942;2
943;1
944;4
945;6
946;2
947;2
948;1
949;0
950;1
951;0
952;0
953;2
954;5
955;1
956;0
958;1
959;0
960;4
961;1
962;2
964;6
965;0
966;0
968;4
969;0
970;2
971;4
972;3
973;0
974;0
975;0
976;0
977;1
978;0
979;1
981;1
982;5
983;1
984;2
985;5
986;2
