User;BadgeCount
1;150
2;57
3;31
4;34
21;1
22;102
23;8
24;41
25;31
26;1
27;10
28;49
29;3
30;6
31;4
32;33
33;9
34;20
35;15
36;11
38;48
39;6
40;7
41;12
42;5
43;5
44;16
45;220
46;11
47;26
48;144
49;5
50;6
51;3
52;6
53;12
54;3
55;8
56;18
57;1
58;115
60;1
61;30
62;4
63;5
64;2
66;34
69;8
70;6
72;2
73;2
74;2
75;21
76;9
77;28
78;24
79;20
80;8
81;10
82;1
84;5
85;19
86;32
87;2
88;55
89;12
91;2
92;1
93;29
94;3
95;4
96;4
97;27
98;17
99;10
100;19
101;39
102;9
103;64
104;8
105;2
106;13
107;6
108;21
109;12
110;10
111;2
112;11
113;2
114;2
115;12
116;14
117;47
119;15
120;19
121;1
122;2
123;55
124;4
125;4
127;2
129;5
130;12
131;6
132;12
133;6
134;13
135;21
136;5
137;55
138;1
139;4
140;4
141;1
142;2
143;13
144;3
145;24
146;7
147;11
148;7
149;26
150;4
151;54
153;1
154;2
155;17
156;9
157;3
158;9
159;3
160;37
161;14
162;29
163;16
164;13
165;9
167;13
168;1
171;8
172;1
173;31
175;13
176;6
177;10
178;25
179;16
180;15
181;22
182;3
183;13
184;7
186;10
187;7
190;8
191;4
192;9
193;5
194;2
195;24
196;12
197;19
198;5
199;14
200;31
202;15
204;3
205;6
206;16
207;5
208;6
209;8
210;8
211;19
212;31
213;12
214;18
215;19
216;89
217;16
219;8
220;7
221;22
222;18
223;42
224;22
225;2
226;19
227;2
228;9
229;5
230;1
231;5
232;4
233;1
234;19
235;8
237;5
238;1
239;11
240;10
241;12
242;2
243;10
244;18
245;5
246;22
247;68
248;19
249;3
250;8
251;58
252;3
253;5
254;11
255;5
256;1
257;8
258;18
259;4
260;7
261;37
262;7
263;6
264;8
267;13
268;5
270;5
271;21
272;16
273;27
274;64
275;12
276;3
277;7
278;9
279;15
280;2
281;2
282;59
283;11
284;18
286;4
288;6
289;17
290;2
291;2
292;47
293;9
294;4
295;4
296;9
298;8
299;4
300;1
301;84
302;2
306;16
307;2
308;18
309;1
310;9
311;4
312;24
313;11
314;5
315;16
316;1
317;14
318;6
319;10
320;2
321;1
322;8
324;5
325;5
326;30
327;4
328;3
329;2
330;7
331;15
332;8
333;23
334;16
335;2
336;8
337;2
338;9
339;2
340;22
341;11
342;39
343;8
345;17
346;9
348;6
350;16
351;4
352;7
353;5
354;7
355;13
356;10
357;4
358;23
359;1
360;8
361;10
362;5
363;19
365;2
366;2
367;20
368;10
369;8
370;22
371;41
372;14
373;6
375;41
376;12
377;1
378;5
379;2
380;1
381;14
382;10
383;11
384;4
385;45
386;47
387;2
388;84
389;1
390;13
391;10
392;30
393;12
394;10
395;24
396;7
397;1
398;5
401;42
402;28
403;4
404;2
405;37
406;5
407;10
409;23
410;10
411;21
412;28
413;37
414;17
415;3
416;12
418;4
419;7
420;1
421;4
422;51
425;4
426;19
427;17
428;14
429;7
430;4
431;25
433;21
434;6
436;9
437;2
438;15
439;1
440;8
441;13
442;8
443;9
444;3
445;7
446;4
447;11
449;16
451;6
452;11
453;4
454;7
455;8
456;15
457;30
458;41
459;6
460;18
462;2
463;25
464;6
465;10
466;14
467;7
468;12
469;3
470;5
471;24
472;4
473;6
474;2
475;50
476;3
477;10
478;2
479;17
480;2
481;23
482;10
483;15
484;4
485;3
486;2
487;1
488;8
489;19
490;4
491;9
492;4
493;2
494;24
495;10
496;7
497;2
498;14
499;4
500;4
502;7
503;2
504;10
505;6
506;1
507;1
508;2
509;5
510;13
511;21
512;6
513;4
514;23
515;4
517;9
518;7
520;6
522;8
523;24
524;5
525;11
526;43
528;11
529;12
530;49
531;27
532;2
533;65
534;1
535;11
536;29
537;3
538;3
539;7
540;5
541;9
542;10
543;13
544;14
545;6
546;14
547;3
548;34
549;7
550;9
552;2
554;15
555;13
556;7
557;1
558;6
560;1
561;4
563;8
564;26
565;19
566;5
568;7
570;8
571;9
573;7
575;20
576;3
577;4
578;2
579;2
580;9
581;4
582;11
583;2
584;81
587;3
588;28
590;12
591;11
592;20
593;6
595;15
598;18
599;1
600;1
601;17
602;18
603;3
604;24
605;13
606;1
608;2
609;4
610;5
611;11
613;53
614;2
615;7
616;15
617;13
619;2
620;2
621;10
622;21
623;24
624;12
625;5
626;26
627;7
628;1
629;56
630;1
631;2
632;6
633;2
634;15
635;13
636;7
637;1
639;2
641;11
642;5
643;1
644;1
645;5
646;4
648;2
649;10
650;8
651;20
652;2
653;4
654;2
655;7
656;10
657;10
658;78
659;12
661;19
663;13
664;9
665;12
667;11
669;1
670;22
671;47
672;2
673;5
675;5
676;9
677;39
678;12
679;12
680;6
681;16
682;5
683;14
684;24
685;8
686;2
687;5
688;1
689;2
690;9
693;1
695;6
697;2
699;20
700;12
701;19
702;9
703;5
704;7
705;4
706;68
707;2
708;1
709;9
710;33
711;25
712;6
713;2
714;9
715;57
716;6
717;10
720;27
721;33
722;25
723;5
724;14
725;15
727;9
729;24
730;6
731;15
732;7
733;6
734;9
735;3
737;1
738;2
739;1
740;7
741;6
742;4
744;12
745;15
746;1
747;1
748;5
750;15
751;21
752;1
753;7
754;2
755;13
756;7
757;27
758;14
759;1
760;9
761;26
762;19
763;1
764;4
765;6
766;23
767;26
768;30
769;10
770;5
771;8
772;10
773;64
774;4
775;21
776;2
777;2
778;4
779;2
780;26
781;2
782;6
783;44
784;1
785;14
786;1
787;16
789;1
791;6
792;37
793;6
794;22
797;1
798;21
799;2
800;12
801;6
803;2
804;11
805;2
806;9
807;6
808;74
810;14
811;6
812;10
813;29
814;8
815;3
816;28
817;2
819;7
821;23
822;131
823;29
824;5
825;10
826;1
827;1
828;6
829;39
830;17
831;8
832;7
833;11
834;4
835;13
836;1
837;39
838;2
840;3
841;15
842;1
843;21
844;1
845;7
846;28
847;75
848;3
849;11
850;22
851;2
852;12
854;24
855;8
856;2
857;13
858;11
859;11
860;2
861;1
863;2
864;7
865;6
866;16
867;4
868;7
873;9
875;4
877;25
878;1
879;5
880;28
881;4
883;15
884;6
885;2
886;1
887;26
888;15
889;31
891;14
892;27
893;18
894;1
895;7
896;2
897;2
898;2
899;1
901;2
902;14
903;11
904;11
905;15
906;43
907;13
908;2
909;1
910;25
911;5
912;11
913;6
914;53
915;16
916;12
917;3
918;1
919;158
920;20
921;13
924;12
926;2
929;14
930;3
931;28
932;2
934;18
935;2
936;23
937;11
938;14
939;9
940;10
942;42
943;13
944;9
945;5
946;1
947;3
948;2
949;12
951;2
952;3
953;4
954;13
955;9
956;9
957;7
958;84
959;11
960;5
961;2
962;7
963;29
964;1
965;3
966;42
968;3
969;6
970;2
971;3
972;1
973;16
975;18
976;12
977;9
978;16
979;1
980;1
981;18
982;19
983;12
984;415
985;17
987;4
988;9
989;2
991;36
992;1
993;38
994;2
995;29
996;2
997;4
998;6
999;15
1000;3
1001;4
1002;6
1003;9
1004;26
1005;3
1006;27
1007;3
1008;23
1011;6
1012;4
1013;1
1014;7
1015;1
1017;14
1018;7
1019;13
1020;16
1022;7
1024;4
1025;6
1026;1
1027;4
1028;5
1029;5
1030;44
1031;11
1032;12
1033;9
1034;5
1036;5
1037;11
1038;2
1039;29
1040;5
1041;22
1042;2
1043;15
1044;15
1045;7
1046;4
1047;45
1049;10
1050;10
1051;2
1052;13
1053;12
1054;185
1055;2
1058;4
1059;16
1061;3
1063;16
1064;4
1065;3
1066;1
1067;15
1068;11
1069;10
1070;30
1071;39
1072;22
1074;6
1075;5
1076;13
1077;3
1078;33
1079;22
1080;2
1081;16
1082;28
1083;10
1084;1
1085;11
1086;6
1087;17
1090;2
1091;3
1092;14
1093;5
1094;21
1095;1
1096;1
1097;8
1098;16
1100;2
1101;50
1102;9
1103;1
1104;14
1106;28
1107;24
1108;10
1109;3
1110;5
1113;4
1114;5
1115;21
1116;2
1118;6
1120;2
1121;38
1122;19
1123;6
1124;4
1125;3
1126;18
1127;29
1128;10
1129;13
1130;7
1131;44
1132;5
1133;2
1134;46
1135;21
1136;13
1138;4
1139;2
1140;9
1141;16
1143;13
1145;10
1146;7
1147;13
1148;2
1149;3
1150;9
1151;7
1152;2
1153;17
1154;25
1155;43
1156;28
1158;1
1159;16
1160;7
1161;4
1162;11
1164;20
1165;1
1166;15
1167;47
