User;BadgeCount
2;3
3;5
4;7
5;11
6;8
7;4
8;145
9;16
10;54
11;55
12;51
13;19
14;1
15;5
16;30
18;5
19;2
20;34
22;14
23;3
24;13
25;44
27;5
28;2
29;32
30;16
31;2
32;21
33;12
34;12
35;1
36;39
38;8
40;2
43;22
44;6
45;1
46;143
48;1
49;73
50;10
51;14
52;6
55;1
56;1
57;17
58;27
59;4
60;2
61;26
62;12
63;4
64;4
65;21
66;38
67;3
68;2
69;26
70;9
71;3
72;1
73;315
74;5
75;3
76;6
77;9
78;2
80;9
81;11
82;36
83;7
84;3
85;4
86;2
87;3
88;27
89;189
90;7
91;6
92;46
93;5
94;21
96;2
97;8
98;5
99;41
100;9
101;6
103;1
104;12
105;29
106;8
107;16
108;11
110;16
111;5
112;27
113;7
116;11
117;2
118;2
119;29
120;34
121;14
123;4
125;3
127;34
128;19
130;8
131;18
132;7
133;11
134;2
135;6
138;10
140;1
141;42
143;5
144;2
145;6
146;6
147;6
150;16
151;39
152;44
154;13
155;15
158;3
159;1
161;51
162;4
163;3
164;9
165;2
166;15
167;6
168;3
170;75
171;8
172;24
173;2
174;1
175;30
176;4
177;2
178;87
179;6
181;4
182;2
183;4
184;32
185;3
186;2
187;3
189;5
190;2
191;3
192;2
193;40
194;6
195;2
196;4
197;12
198;3
199;19
200;3
202;12
203;19
204;1
205;50
206;3
207;2
209;4
210;5
211;9
212;2
213;3
214;1
215;1
218;1
219;5
220;9
221;12
222;2
223;9
224;3
225;8
226;1
229;1
231;4
235;1
237;1
238;18
239;7
241;1
242;15
243;6
244;2
245;9
246;2
247;1
248;3
249;1
251;89
252;6
253;1
254;1
255;23
256;7
257;1
258;12
260;3
263;3
264;5
266;5
267;1
268;51
270;1
271;7
272;7
273;8
274;15
275;7
276;2
277;1
278;1
279;15
281;1
282;1
283;5
284;5
285;1
286;2
287;1
288;4
290;47
291;3
292;1
293;15
296;12
298;36
300;34
302;1
304;18
305;2
306;1
307;2
309;1
310;1
313;16
315;2
316;4
317;1
319;8
322;2
324;2
325;13
327;5
328;2
329;4
331;3
334;5
335;3
336;1
338;1
339;3
341;2
342;1
343;9
344;4
345;2
346;2
348;1
350;1
351;2
353;40
354;1
355;8
357;4
358;1
360;10
362;1
363;2
365;8
366;131
368;1
370;29
372;6
373;44
375;2
376;20
377;1
378;8
379;1
380;2
381;2
383;4
384;4
385;200
386;2
389;14
391;27
392;1
394;25
395;43
397;5
399;9
401;1
402;13
403;40
408;5
410;1
413;19
414;2
415;1
416;2
419;2
420;16
421;19
425;3
426;2
427;1
430;1
431;6
432;1
433;10
434;6
435;3
438;1
442;17
444;2
445;2
446;3
447;6
448;11
449;3
450;4
454;9
456;7
458;3
460;6
461;1
462;12
463;3
464;5
466;9
470;1
472;18
473;39
474;9
475;4
476;3
478;18
479;117
480;2
481;1
482;1
483;8
484;1
485;2
486;1
490;76
491;5
492;10
493;2
494;1
496;15
498;11
499;1
500;23
505;2
506;9
507;12
508;1
509;2
513;1
514;8
515;1
517;4
518;5
519;1
523;3
524;1
525;5
526;5
527;3
528;3
530;5
538;2
541;1
544;1
547;1
548;1
549;1
551;1
552;1
556;1
560;2
562;13
564;2
565;1
566;1
567;3
573;1
575;1
576;34
577;2
578;9
580;9
584;3
585;3
588;1
589;2
591;2
593;2
594;1
595;7
596;2
597;1
598;3
599;1
600;26
601;4
602;1
603;3
604;2
607;12
608;1
612;2
614;3
617;3
618;2
619;1
621;4
624;5
625;2
626;3
627;1
629;1
631;5
633;1
634;5
636;1
637;4
639;3
641;5
645;2
646;1
647;3
648;3
649;4
653;5
654;3
656;1
657;15
658;2
663;3
667;7
668;3
673;1
675;6
676;8
678;12
680;8
684;1
687;5
688;6
692;14
696;7
699;16
700;1
701;1
706;3
709;4
711;4
713;1
715;2
716;4
721;1
723;1
724;4
728;3
730;8
731;1
732;11
733;8
736;78
737;13
739;9
741;1
742;1
744;1
745;15
750;10
751;7
752;7
753;3
754;2
755;4
756;1
757;6
758;1
759;3
760;4
761;6
762;2
763;10
764;1
765;36
770;1
774;2
775;3
776;2
777;2
778;3
779;1
781;106
783;2
784;61
785;11
787;1
789;3
792;3
794;34
795;1
796;4
798;10
799;25
800;1
801;3
802;1
805;2
807;11
808;2
811;6
813;1
814;1
816;5
819;5
821;4
824;1
825;2
827;10
829;1
832;6
833;10
834;4
835;4
837;2
838;29
839;13
840;1
843;6
845;2
847;226
848;2
849;1
850;3
853;2
854;1
859;12
860;5
862;1
863;1
864;1
865;2
867;1
870;1
871;15
872;4
873;4
874;8
875;15
876;14
878;1
880;1
881;9
882;9
883;6
884;1
887;1
888;31
