User;BadgeCount
59047;1
68719;1
68714;1
68342;1
68703;1
68704;1
67168;1
68691;3
64635;1
68688;1
68628;1
68306;1
68664;1
25101;1
68666;1
68662;1
68657;1
68651;1
68647;1
68258;1
68576;1
68597;2
68243;1
68611;1
68598;1
68400;1
68583;2
68578;1
68580;2
68570;1
68568;1
68542;1
68565;3
68560;1
68558;2
68544;2
25426;1
68553;2
68551;1
68537;1
68534;1
67691;1
68695;1
68519;2
68120;1
68511;1
68108;1
64530;1
68505;1
50220;1
68498;1
68480;2
68476;1
68419;1
68472;1
68471;1
68470;2
43667;1
68421;1
68456;1
68450;2
68448;1
64305;1
68441;1
35247;2
68439;2
68437;1
68436;1
50409;1
68424;1
68169;1
68408;3
68409;2
67992;1
33147;1
63596;1
68393;1
68392;1
68452;1
68390;2
68388;3
68319;1
32175;1
68375;1
68366;1
68357;1
41134;1
29119;1
68318;2
68355;1
68349;2
67933;1
68343;2
60344;1
68329;1
68326;2
68315;1
68078;1
68312;2
68310;2
68308;1
68302;1
68297;1
68284;3
68285;1
68273;1
67841;1
67015;1
68172;1
68262;1
68265;1
68254;1
68251;2
68249;1
67923;2
67551;2
68247;1
68230;2
68240;1
68233;4
68222;1
67794;1
68198;2
36402;1
68189;2
68180;1
32848;2
68174;1
68158;2
68165;1
67310;1
12103;1
68156;1
68150;1
68133;1
68132;1
68130;2
68127;2
44576;1
68117;2
63388;1
68104;1
68101;1
68097;1
68083;2
68079;1
68081;1
64337;3
68069;2
66393;1
68066;2
68010;1
68056;2
68054;1
67875;1
68046;1
68028;2
68013;6
60635;1
68005;1
67998;1
67491;5
6297;1
60494;1
52508;1
67984;1
67579;1
67977;1
67979;1
64771;5
67562;1
67956;2
67954;3
67944;1
67946;1
67938;4
67937;1
67544;1
67935;2
48644;1
66952;1
67920;2
67921;1
67919;1
67916;1
50467;2
67913;1
67903;2
14330;1
67892;1
67886;1
67860;1
67867;2
67864;1
67822;1
67487;1
58441;1
65945;1
67842;1
67840;1
67836;1
67828;2
67830;2
67826;1
67821;2
67723;1
60115;1
24666;1
67818;3
67817;1
67813;1
67512;3
67807;2
59967;1
45826;1
67430;1
67786;2
67761;3
67754;1
25398;1
67757;1
67752;1
67750;1
67749;1
67743;1
67741;1
29048;1
67729;1
67721;1
67720;1
67717;2
67716;1
67692;1
67686;3
67669;1
44487;4
67679;2
67677;1
67672;1
67633;1
67604;8
26566;2
67509;1
67648;1
67289;1
67645;1
67639;2
67630;1
65104;1
67629;4
66789;1
67589;1
64289;1
67614;1
52524;7
67607;1
15988;1
67486;2
67232;1
67592;1
57831;1
67591;2
67566;1
67580;2
67575;1
67570;1
67569;1
7280;1
67563;1
67567;1
67552;1
32278;1
67560;1
67561;1
67558;1
67185;1
67541;1
67540;1
67539;3
67535;1
67533;1
67529;2
67527;4
67514;1
64910;1
67504;1
67479;1
67473;2
67472;2
67460;1
67461;2
67455;3
67338;5
68179;1
67441;2
67391;1
67774;4
67429;2
67426;1
40636;1
67340;2
67405;2
67390;4
67382;2
66217;1
67380;1
67379;2
67359;1
66650;2
67355;1
66995;1
67351;1
67349;2
67347;1
67337;1
33872;1
67328;1
67317;2
51071;1
11483;1
67304;1
67299;2
67295;2
67292;1
67287;2
67278;1
66847;1
67273;1
67246;1
67265;2
67261;5
16145;1
67697;2
67255;1
64518;1
67249;2
66903;1
67244;3
66468;1
67233;2
67230;1
67216;2
67215;3
67205;1
67170;2
67194;10
57859;1
67183;2
66844;2
67172;1
67157;1
59935;1
66230;1
67153;1
67152;1
67143;1
67048;1
67087;1
6107;1
67131;1
67089;2
67126;1
67119;1
52264;1
67109;4
64646;3
67105;5
67102;1
67101;1
67097;2
67069;5
67080;1
67088;1
67081;1
67079;1
66663;1
67053;1
67061;1
65361;2
67055;5
67018;1
67007;1
67031;1
66805;1
66968;2
67025;1
67021;1
67014;1
67010;1
59366;1
67002;1
67000;4
66998;1
43860;1
66441;1
66992;1
66981;2
66973;1
66640;1
66958;1
66954;1
66883;1
66951;2
66939;3
66937;1
66930;4
66926;3
17141;1
66906;4
66902;1
66896;1
66567;1
66889;4
66884;1
66560;1
66876;1
66868;2
66862;1
28300;1
66530;2
66842;6
66835;1
66829;1
36405;1
66819;1
66825;1
66484;1
66822;1
66821;1
66818;8
66730;1
54551;1
41385;2
66772;1
66770;2
52156;1
66762;4
66750;2
66745;4
66743;1
17702;1
66736;1
66240;2
66720;1
66726;4
66678;1
66719;1
66718;1
66713;1
66694;2
66704;1
66309;1
66637;1
66700;2
66697;1
66322;1
66685;1
33425;1
64614;3
66683;1
49678;2
66665;1
66664;1
66281;1
26829;1
66282;1
66639;1
66627;1
66625;1
66624;1
66384;3
66621;3
60733;1
66618;2
62978;1
66599;1
66598;2
66592;2
66209;1
66581;2
66580;2
31889;1
66576;1
66572;3
66570;1
66556;2
9755;1
44687;1
66180;1
66373;1
66543;2
66537;2
66539;1
66538;6
66535;1
66682;1
66533;4
66527;1
66524;2
66505;1
66501;1
66487;1
66110;1
21140;1
66481;2
54486;1
66475;1
66405;6
66310;1
16483;4
66447;1
66435;3
66439;1
66437;1
34858;1
66436;2
47780;1
65441;1
62788;2
66428;3
66422;1
66420;1
66418;1
59858;3
66398;1
66394;1
66390;1
66389;1
66387;1
66360;1
66385;2
65389;3
66378;1
66026;1
38640;1
66353;1
66345;1
66332;1
66324;1
66320;2
66318;1
49388;2
6993;2
56639;2
66307;1
62147;1
65669;3
66303;1
66301;1
66291;1
66278;2
66251;1
66286;3
66106;2
66255;1
66244;1
66243;1
65914;1
66236;3
66237;1
66160;1
65672;1
56458;2
66229;2
66225;1
66222;2
66196;1
19348;1
66195;5
65047;2
66186;1
65843;1
35335;1
66171;1
66162;1
66159;1
66156;1
66154;1
67651;2
66141;1
66149;2
65527;3
66143;2
66132;1
66129;1
17077;1
67623;1
66109;1
65451;1
66097;2
57833;1
65718;1
41149;2
59712;1
66059;1
18842;1
66060;1
66055;1
54219;1
67414;3
66050;1
66048;1
66016;2
66037;1
64992;1
65972;1
66004;1
66009;1
66010;1
66002;1
66000;1
65997;1
65987;2
65985;2
59643;1
35744;1
65970;1
55023;1
62516;1
65966;2
65204;3
65925;1
57617;1
65924;3
58403;1
65942;5
64899;1
65938;1
65933;1
60877;1
65921;1
65906;2
65900;1
65899;1
65896;1
65880;1
65875;1
65872;1
67771;4
64346;2
65867;1
65865;1
65858;1
65859;1
65860;2
65851;2
65853;3
65852;1
65839;1
65825;1
65797;1
65815;3
19292;1
59118;1
65810;2
65741;4
45797;1
65803;2
65795;1
65758;4
65791;2
65923;3
65780;1
65775;1
65773;1
65770;1
65757;2
65750;1
65740;1
65737;1
55095;1
65734;2
27517;1
65434;1
65724;1
65726;1
65721;1
65722;2
65723;1
65717;1
65715;1
65713;1
52007;1
65712;1
65702;1
65698;1
65640;1
65690;3
65688;1
65685;1
65682;2
65681;1
65680;1
65679;3
65670;1
59914;1
49231;1
65661;1
65659;3
65398;1
65643;2
66705;1
65603;1
65634;1
65630;1
65626;2
64644;1
65140;3
65618;1
60339;1
65607;2
65608;2
62691;1
65597;2
65592;2
65585;3
65582;4
65542;1
65528;1
65538;1
65236;1
65578;1
65569;1
65557;1
65512;1
65561;1
65556;2
65549;3
65524;7
65529;1
65526;1
64568;1
65230;4
65522;1
65514;1
65515;2
65424;1
65463;2
65503;1
65438;1
65499;2
65498;1
65430;2
65464;1
45874;1
65475;2
65473;1
65320;1
23960;2
49573;1
10009;1
65403;1
65452;2
64700;2
65450;2
65448;2
67050;3
65432;1
65428;1
45766;2
65420;1
65415;3
65411;1
65373;1
65410;1
58774;5
49084;1
65395;1
65386;1
66041;3
64383;1
65376;1
63371;1
65374;1
65372;1
65370;1
65363;1
66079;5
65360;2
67917;2
60194;1
65358;2
37329;1
65291;2
65350;3
65349;1
65338;1
65335;2
65334;1
65325;3
65268;1
65318;1
65317;1
67393;2
63846;1
65313;2
64950;1
65548;1
65307;5
65099;1
65306;2
65243;1
65305;1
50341;2
64517;2
65295;2
65293;1
65076;1
65037;1
65258;1
65257;1
65215;1
65513;1
65234;2
65228;1
67241;1
65225;1
51955;3
39136;1
56746;1
65214;1
65211;1
63540;1
65207;2
65206;1
65201;1
65198;1
65191;1
65184;3
65183;1
65176;2
65175;1
16242;1
32397;1
65169;1
65143;2
65168;1
65162;1
36043;2
65148;2
24782;1
25903;1
64567;3
65126;1
48671;1
64994;2
47440;2
65111;1
65075;1
65105;4
65087;1
65085;3
47750;2
65067;1
37577;2
65064;1
65022;1
64999;1
65052;1
64956;3
65043;1
64720;1
65009;2
15531;1
65003;1
12225;1
64947;1
64984;2
64978;1
64977;1
64976;5
64964;3
64965;1
64959;1
64953;2
64949;1
64944;3
64808;1
64940;2
64472;1
64793;2
64923;2
64848;2
25613;1
64885;2
65241;1
64134;4
64578;3
64879;1
64875;2
19322;2
64873;2
64867;1
64863;1
64859;1
64857;1
65102;1
64618;6
64849;1
64845;1
64838;1
64830;1
64826;1
64822;2
64818;3
64780;1
64794;1
64795;1
64493;1
63912;1
64788;1
64787;3
64782;1
64479;1
64478;1
64775;1
64770;1
49482;1
68260;1
64749;2
64456;1
54191;1
64748;2
41527;1
64742;4
64730;2
64732;2
64727;1
64717;1
64712;1
64706;1
64702;2
64689;2
64676;1
63484;1
64668;3
64665;4
64660;2
64661;1
57626;1
57126;1
64645;1
20453;1
64636;1
64611;1
64606;2
64605;2
64602;1
29228;1
64252;1
64592;4
63968;1
64580;1
64284;1
64570;1
65427;1
47962;7
64548;1
64234;1
64553;1
64536;4
57461;1
64526;1
64522;2
64515;1
54574;1
60767;5
64474;1
47590;2
64488;4
63232;1
64378;1
57524;2
40740;1
64460;2
10907;3
64455;1
59816;1
63843;1
64446;1
64156;1
64439;1
64429;2
54247;1
64419;3
64411;1
64407;1
36494;2
64403;4
64400;1
64392;2
39083;1
64370;2
60560;1
67581;1
64365;2
64350;2
64324;1
51457;1
64331;2
63935;2
64319;2
62666;1
32637;1
64316;2
64188;3
63831;3
63976;1
59072;1
62451;1
64297;1
64293;1
64292;3
64285;1
43849;1
64277;1
64271;1
36208;1
64266;1
64265;1
54604;1
64255;2
64253;1
64248;1
64184;2
64202;1
64230;1
64215;1
64220;1
64205;1
58147;3
64204;1
64179;2
63877;1
35025;1
64182;1
64162;1
64180;1
64175;1
64172;1
64167;1
64151;1
11159;1
64147;1
64146;2
64142;2
64140;1
64136;1
45192;1
64131;4
64126;2
64109;1
63772;1
64101;2
64100;1
64099;1
64098;1
63246;1
64093;2
64078;2
64075;1
64067;2
62631;3
64031;1
64030;2
58643;1
64026;1
64025;1
64746;2
64020;1
45134;1
64016;1
64013;1
44876;1
63998;1
63994;1
63985;3
63984;1
63768;1
38491;1
63847;3
63862;1
63908;1
63948;1
28019;1
63920;3
63590;1
63906;1
63903;1
63901;1
63868;2
67688;1
63897;3
63887;1
63892;3
63885;1
34302;1
63872;1
63863;3
63858;2
63859;1
63857;4
63841;2
51232;2
63832;1
67609;1
60607;1
44685;1
63828;2
62818;3
63824;1
63506;1
63816;1
63812;2
31030;1
7024;2
63807;1
63800;1
63798;1
63669;1
63781;2
37216;1
59372;1
63764;4
63195;1
63759;1
63742;1
63736;1
68155;1
63733;3
63731;2
63730;12
63722;4
63714;1
63713;1
63634;1
63414;6
66986;3
63706;1
63404;1
63698;1
63696;2
63697;1
54707;3
7702;1
63657;2
63685;2
6213;1
63681;1
63215;3
54713;2
63671;2
63667;1
63020;1
63662;1
59505;1
63618;2
63654;2
63653;1
63651;1
63620;1
63593;4
63647;1
63638;1
63554;1
50532;4
63630;1
63185;3
63338;1
63628;3
63611;4
63609;1
63584;2
63603;1
63591;1
59418;1
45955;1
57686;1
63576;3
63575;1
63569;2
57464;1
63549;1
63547;1
60833;1
63238;2
35031;2
63534;1
66917;3
62670;2
63223;1
63524;1
63515;2
63212;1
63509;1
63503;1
63496;2
63489;1
63472;1
63470;11
63332;3
38299;1
25724;2
62884;1
59254;1
63439;2
63436;1
63434;6
63133;1
59037;1
63053;1
63413;2
63412;2
63400;1
63399;2
60615;1
63397;1
63396;3
65838;1
28228;2
63386;1
63369;3
63367;2
63342;4
62801;1
63355;2
17216;1
63219;2
63351;1
63349;2
63321;5
63263;8
63309;1
62730;1
63302;2
63300;1
63227;1
62956;1
63283;1
63275;1
63273;3
63481;1
63272;6
63265;2
63267;2
63261;2
63258;3
63259;2
54037;1
63251;1
63244;1
68324;1
63237;1
62904;1
63235;1
63218;1
63221;1
63217;1
63191;5
63198;1
63194;1
63190;3
59213;5
63179;3
63173;1
63168;1
27101;1
37899;2
63160;3
63163;3
63137;3
62407;1
68532;2
62826;1
62114;1
63153;2
63089;1
38257;1
63146;2
63144;3
63142;1
63141;1
63139;1
67065;1
63096;1
63132;2
63130;5
63128;2
64272;1
63127;2
63121;6
63114;1
63110;2
63804;2
63106;1
63100;1
44232;1
63085;1
63082;1
68200;1
62834;1
63077;1
63071;1
63068;5
62998;2
63049;1
25693;1
62995;2
67003;1
45174;3
62228;2
63024;1
63019;1
63016;1
62802;1
63012;1
63004;1
63000;1
62999;1
68710;1
62992;2
10010;1
60741;1
62565;1
62969;1
47911;1
62955;2
68668;1
62959;2
62953;1
62951;1
62948;1
58207;1
20730;1
62924;4
62911;3
62912;2
62889;1
62888;2
62673;1
62883;1
62878;3
62555;1
31161;1
62868;4
62867;1
62862;3
51254;1
62860;1
62858;5
59133;1
62850;1
62844;1
62842;1
62840;1
62839;1
62835;4
50299;1
62821;1
62822;1
62808;5
62816;1
62763;1
62794;4
62795;2
62657;1
62786;2
62787;1
62744;1
49747;1
62782;1
62609;4
54304;1
62767;1
62762;2
17568;1
62754;1
62291;1
65929;1
62437;1
67824;1
62745;1
62428;1
62734;8
62727;1
63122;1
62704;2
60503;1
29133;1
62705;1
62700;1
54140;1
62233;3
67999;1
62664;1
62687;3
57568;1
62681;2
40449;1
62659;1
62656;6
62648;1
63715;2
62646;1
62155;3
62642;1
62640;5
62636;1
62617;1
60263;1
62611;2
35824;1
