Post;Score 
-1 ; 1
1 ; 6679
2 ; 943
3 ; 305
4 ; 1065
21 ; 101
22 ; 3057
23 ; 166
24 ; 1600
25 ; 660
26 ; 101
27 ; 376
28 ; 2091
29 ; 151
30 ; 196
31 ; 118
32 ; 943
33 ; 118
34 ; 446
35 ; 592
36 ; 581
38 ; 1152
39 ; 126
40 ; 236
41 ; 205
42 ; 103
43 ; 206
44 ; 266
45 ; 21915
46 ; 191
47 ; 1201
48 ; 25446
49 ; 151
50 ; 106
51 ; 166
52 ; 138
53 ; 414
54 ; 116
55 ; 169
56 ; 222
57 ; 101
58 ; 2131
60 ; 101
61 ; 814
62 ; 101
63 ; 246
64 ; 111
66 ; 314
69 ; 130
70 ; 186
72 ; 101
73 ; 101
74 ; 101
75 ; 302
76 ; 194
77 ; 630
78 ; 343
79 ; 292
80 ; 160
81 ; 127
82 ; 101
84 ; 141
85 ; 1838
86 ; 1631
87 ; 101
88 ; 880
89 ; 661
91 ; 131
92 ; 101
93 ; 1999
94 ; 131
95 ; 121
96 ; 108
97 ; 3132
98 ; 553
99 ; 213
100 ; 380
101 ; 1187
102 ; 168
103 ; 1287
104 ; 133
105 ; 101
106 ; 491
107 ; 128
108 ; 447
109 ; 135
110 ; 215
111 ; 101
112 ; 188
113 ; 101
114 ; 101
115 ; 381
116 ; 380
117 ; 1704
119 ; 157
120 ; 238
121 ; 101
122 ; 101
123 ; 1122
124 ; 106
125 ; 150
127 ; 101
129 ; 101
130 ; 200
131 ; 108
132 ; 146
133 ; 187
134 ; 224
135 ; 412
136 ; 111
137 ; 897
138 ; 101
139 ; 101
140 ; 101
141 ; 101
142 ; 101
143 ; 242
144 ; 101
145 ; 360
146 ; 140
147 ; 393
148 ; 176
149 ; 567
150 ; 108
151 ; 2419
152 ; 101
153 ; 101
154 ; 101
155 ; 474
156 ; 133
157 ; 103
158 ; 329
159 ; 108
160 ; 1190
161 ; 187
162 ; 430
163 ; 401
164 ; 195
165 ; 171
166 ; 101
167 ; 169
168 ; 101
171 ; 101
172 ; 101
173 ; 2714
175 ; 123
176 ; 131
177 ; 195
178 ; 1572
179 ; 288
180 ; 680
181 ; 1395
182 ; 101
183 ; 213
184 ; 374
186 ; 131
187 ; 108
190 ; 156
191 ; 111
192 ; 243
193 ; 101
194 ; 101
195 ; 794
196 ; 283
197 ; 224
198 ; 111
199 ; 196
