User;Reputation
275068;1
275067;1
275066;101
275061;1
275060;1
275059;1
275058;1
275057;6
275055;1
275054;1
275052;1
275050;1
275047;11
275046;1
275044;101
275038;1
275036;1
275035;1
275031;1
275026;1
275025;101
275023;1
275021;101
275018;1
275016;1
275015;101
275014;6
275008;1
275007;101
275005;101
275004;1
275003;1
275002;1
275000;1
274997;1
274996;1
274995;1
274993;1
274991;1
274990;1
274987;1
274979;1
274978;1
274977;1
274975;1
274974;1
274972;1
274971;1
274969;1
274968;1
274967;1
274964;1
274963;1
274962;1
274959;1
274950;101
274949;6
274948;11
274946;1
274945;1
274939;1
274937;1
274933;1
274927;1
274923;1
274921;1
274917;1
274916;1
274912;1
274909;1
274908;1
274907;101
274904;1
274903;1
274900;1
274899;1
274898;1
274897;111
274892;1
274889;1
274887;6
274886;1
274884;1
274883;1
274880;1
274878;11
274877;1
274874;1
274873;1
274872;1
274869;101
274867;1
274865;6
274860;101
274859;1
274856;1
274855;1
274853;1
274852;1
274850;1
274849;1
274846;1
274845;101
274842;1
274841;101
274840;1
274838;1
274834;1
274832;101
274831;101
274828;1
274825;1
274821;1
274820;1
274817;1
274816;1
274811;1
274809;1
274807;1
274805;6
274801;101
274800;1
274797;1
274796;1
274795;1
274794;1
274792;1
274789;1
274784;1
274783;1
274780;1
274779;1
274777;1
274776;1
274771;1
274770;1
274769;101
274767;1
274764;101
274763;116
274762;101
274761;3
274758;1
274757;1
274754;1
274752;1
274747;1
274745;101
274740;101
274739;1
274738;1
274737;23
274736;1
274735;1
274734;101
274733;1
274731;1
274730;1
274728;1
274724;101
274722;101
274719;1
274717;101
274714;101
274713;1
274712;1
274710;3
274709;1
274708;1
274705;1
274704;101
274703;1
274702;1
274701;18
274700;1
274699;1
274698;1
274697;1
274696;1
274694;1
274688;1
274681;1
274680;95
274677;1
274675;1
274674;1
274673;1
274669;1
274668;1
274663;1
274662;101
274661;1
274656;1
274650;1
274648;1
274646;1
274644;1
274643;1
274639;1
274637;1
274635;1
274634;1
274632;8
274630;101
274626;1
274624;1
274618;1
274617;1
274616;1
274613;1
274612;1
274609;1
274601;1
274600;1
274597;1
274594;101
274592;1
274588;1
274585;1
274584;1
274583;1
274576;1
274575;1
274573;1
274571;1
274570;97
274564;1
274561;101
274555;1
274554;1
274552;1
274551;3
274548;1
274545;1
274544;1
274543;1
274540;1
274538;1
274536;3
274533;101
274532;101
274530;6
274529;1
274528;1
274525;14
274522;1
274521;1
274519;6
274518;101
274517;1
274515;1
274514;1
274513;1
274512;1
274511;1
274510;1
274507;1
274506;1
274505;1
274500;123
274499;1
274496;101
274493;1
274491;1
274489;1
274486;1
274481;1
274480;1
274478;1
274477;1
274476;1
274472;16
274468;1
274465;1
274463;101
274461;1
274460;1
274456;1
274455;1
274452;101
274451;1
274449;101
274448;1
274447;1
274446;1
274445;1
274437;1
274435;1
274433;1
274431;6
274430;1
274428;1
274425;1
274424;11
274423;97
274422;101
274416;1
274414;1
274413;1
274412;1
274411;1
274410;101
274408;101
274407;1
274404;1
274403;1
274401;1
274399;1
274398;1
274397;1
274395;1
274394;101
274392;1
274391;1
274384;1
274381;1
274376;1
274374;4
274373;1
274372;1
274366;1
274365;3
274362;1
274361;101
274359;1
274358;1
274356;1
274354;1
274351;1
274347;1
274346;101
274344;1
274343;1
274342;101
274341;101
274338;1
274337;3
274335;1
274332;1
274329;1
274325;1
274324;1
274323;1
274321;1
274319;11
274318;1
274317;1
274314;1
274309;1
274307;1
274306;101
274305;1
274304;1
274302;16
274299;1
274298;1
274297;11
274293;1
274292;1
274291;1
274290;1
274288;11
274287;3
274278;1
274277;26
274275;1
274274;1
274269;3
274267;101
274265;1
274264;101
274262;101
274261;1
274260;1
274258;1
274257;1
274255;101
274254;1
274253;1
274252;1
274251;101
274248;1
274246;101
274241;1
274240;6
274237;101
274236;11
274231;1
274230;1
274229;6
274224;1
274222;101
274219;101
274217;1
274215;1
274213;1
274212;101
274210;1
274208;1
274204;1
274202;101
274200;1
274199;6
274196;1
274193;1
274191;1
274185;1
274184;1
274183;6
274178;101
274177;1
274176;301
274174;101
274172;1
274171;1
274167;1
274164;1
274163;1
274160;1
274159;3
274158;11
274157;1
274156;1
274150;101
274148;1
274147;1
274145;1
274143;101
274142;1
274141;1
274139;1
274136;31
274131;3
274130;1
274128;1
274123;1
274122;103
274116;1
274115;1
274114;1
274113;1
274108;1
274105;101
274103;11
274102;101
274101;1
274099;6
274094;1
274092;1
274086;101
274085;1
274080;3
274078;1
274077;101
274076;1
274070;1
274067;1
274066;1
274062;1
274059;1
274058;1
274056;36
274055;101
274054;101
274048;1
274045;8
274041;7
274040;1
274039;1
274036;1
274035;1
274034;101
274030;101
274028;9
274026;101
274025;1
274024;107
274021;6
274017;1
274016;1
274011;1
274010;1
274008;1
274005;1
274002;99
274001;101
273999;1
273998;1
273997;1
273996;3
273995;1
273993;1
273991;1
273989;1
273983;101
273982;1
273980;1
273978;1
273975;1
273973;1
273970;1
273969;1
273968;1
273966;1
273964;1
273962;1
273957;1
273956;1
273951;101
273950;1
273947;1
273945;1
273944;1
273943;1
273942;1
273941;1
273940;103
273939;8
273938;101
273937;1
273936;1
273932;101
273931;1
273930;1
273928;1
273927;1
273926;1
273925;101
273924;1
273923;1
273921;1
273920;1
273918;151
273917;1
273916;101
273915;1
273914;1
273912;1
273911;1
273909;1
273907;1
273906;1
273905;1
273904;1
273902;101
273898;1
273897;101
273896;1
273892;101
273890;1
273889;1
273888;1
273887;1
273881;1
273875;1
273874;1
273870;1
273867;18
273862;1
273856;1
273850;1
273849;1
273847;1
273846;30
273845;1
273843;1
273842;1
273837;1
273836;1
273835;101
273834;1
273832;1
273831;1
273830;1
273828;1
273827;1
273825;1
273824;1
273823;11
273818;13
273813;1
273809;1
273808;1
273807;1
273805;1
273804;1
273798;1
273796;1
273787;1
273785;1
273784;1
273779;6
273777;1
273776;1
273775;1
273774;1
273773;1
273766;1
273764;1
273762;101
273761;1
273760;1
273759;8
273758;1
273757;131
273756;1
273755;1
273751;1
273750;1
273748;1
273746;1
273745;1
273744;1
273743;1
273739;101
273737;1
273736;6
273735;1
273734;1
273732;1
273727;1
273725;1
273724;1
273723;113
273720;1
273716;1
273711;1
273709;11
273708;1
273707;1
273706;1
273705;1
273702;1
273701;6
273700;1
273699;1
273698;101
273696;1
273693;1
273689;1
273686;1
273685;1
273682;1
273681;1
273676;1
273675;99
273674;101
273672;1
273671;1
273670;101
273667;1
273666;1
273665;101
273664;1
273663;1
273657;8
273656;1
273649;1
273646;101
273645;1
273644;1
273643;56
273642;1
273640;1
273638;101
273636;1
273634;1
273631;1
273627;1
273626;101
273625;101
273624;101
273623;1
273622;1
273621;1
273620;1
273619;1
273617;1
273616;1
273614;1
273612;1
273611;1
273610;1
273609;1
273608;101
273605;1
273602;1
273600;21
273599;1
273598;1
273596;99
273595;101
273592;1
273591;1
273590;1
274195;1
273589;1
273587;101
273586;1
273585;1
273584;1
273577;1
273574;1
273572;13
273570;1
273569;1
273567;1
273566;1
273564;1
273563;4
273562;6
273559;1
273557;1
273554;1
273552;1
273549;1
273548;6
273541;1
273540;1
273539;1
273537;1
273535;1
273534;1
273533;1
273532;1
273528;1
273527;1
273524;1
273523;101
273522;101
273519;1
273517;1
273516;1
273515;1
273511;1
273510;101
273508;1
273503;101
273496;1
273715;1
273494;1
273493;1
273490;1
273489;1
273488;1
273482;1
273481;1
273479;1
273478;1
273476;101
273474;1
273473;1
273463;1
273461;1
273457;101
273456;1
273450;1
273448;1
273447;1
273446;1
273444;1
273441;101
273439;1
273437;26
273436;101
273435;6
273432;1
273430;1
273429;1
273426;1
273421;1
273408;6
273407;1
273406;101
273405;101
273402;1
273400;1
273395;1
273394;1
273390;6
273383;1
273381;103
273380;1
273379;1
273378;1
273377;1
273376;101
273375;1
273374;1
273373;1
273372;1
273368;111
273367;1
273365;36
273364;1
273363;1
273360;101
273359;1
273357;11
273355;1
