User;Reputation 
-1 ; 1
2 ; 101
3 ; 101
4 ; 108
5 ; 236
6 ; 187
7 ; 101
8 ; 20011
9 ; 408
10 ; 2082
11 ; 8358
12 ; 1016
13 ; 665
14 ; 101
15 ; 101
16 ; 1708
18 ; 116
19 ; 101
20 ; 599
22 ; 448
23 ; 161
24 ; 239
25 ; 1436
26 ; 101
27 ; 123
28 ; 101
29 ; 438
30 ; 183
31 ; 101
32 ; 349
33 ; 173
34 ; 597
35 ; 101
36 ; 606
38 ; 211
40 ; 21
43 ; 719
44 ; 154
45 ; 101
46 ; 23156
48 ; 101
49 ; 2148
50 ; 137
51 ; 587
52 ; 138
55 ; 101
56 ; 101
57 ; 305
58 ; 754
59 ; 119
60 ; 101
61 ; 1095
62 ; 269
63 ; 103
64 ; 113
65 ; 1918
66 ; 3720
67 ; 101
68 ; 101
69 ; 452
70 ; 139
71 ; 101
72 ; 101
73 ; 66988
74 ; 146
75 ; 111
76 ; 153
77 ; 215
78 ; 111
80 ; 131
81 ; 336
82 ; 772
83 ; 371
84 ; 121
85 ; 101
86 ; 101
87 ; 36
88 ; 593
89 ; 26748
90 ; 14
91 ; 138
92 ; 814
93 ; 243
94 ; 451
96 ; 139
97 ; 177
98 ; 226
99 ; 792
100 ; 263
101 ; 56
103 ; 101
104 ; 252
105 ; 1397
106 ; 193
107 ; 1349
108 ; 310
110 ; 380
111 ; 23
112 ; 289
113 ; 165
116 ; 133
117 ; 101
118 ; 101
119 ; 482
120 ; 633
121 ; 151
123 ; 113
125 ; 131
127 ; 786
128 ; 546
130 ; 262
131 ; 411
132 ; 125
133 ; 145
134 ; 106
135 ; 145
138 ; 132
140 ; 101
141 ; 1468
143 ; 129
144 ; 76
145 ; 128
146 ; 206
147 ; 168
148 ; 101
149 ; 101
150 ; 1560
151 ; 842
152 ; 785
154 ; 160
155 ; 330
158 ; 111
159 ; 21
161 ; 867
162 ; 286
163 ; 121
164 ; 132
165 ; 101
166 ; 224
167 ; 150
168 ; 189
170 ; 9648
171 ; 166
172 ; 416
173 ; 111
174 ; 101
175 ; 936
176 ; 166
177 ; 101
178 ; 9407
179 ; 216
181 ; 151
182 ; 121
183 ; 101
184 ; 445
185 ; 21
186 ; 101
187 ; 133
189 ; 281
190 ; 101
191 ; 101
192 ; 101
193 ; 823
194 ; 103
195 ; 101
196 ; 126
197 ; 79
198 ; 111
199 ; 698
200 ; 101
