User;Reputation
68725;1
68724;1
68723;1
68722;1
68719;1
68717;1
68716;1
68715;3
68714;1
68710;1
68707;1
68705;1
68704;1
68703;1
68702;1
68701;1
68695;1
68694;1
68693;1
68691;103
68690;1
68688;101
68687;1
68686;1
68684;3
68681;1
68677;1
68676;1
68674;1
68670;1
68669;1
68668;3
68666;16
68665;1
68664;1
68662;1
68661;1
68659;1
68658;3
68657;1
68655;1
68652;1
68651;1
68649;1
68647;1
68645;1
68644;1
68643;1
68641;1
68639;1
68638;101
68636;1
68633;1
68632;1
68630;1
68627;101
68626;1
68625;1
68622;1
68621;1
68620;1
68619;1
68614;1
68613;1
68612;1
68611;1
68606;1
68605;1
68604;1
68602;1
68601;11
68598;1
68597;1
68595;1
68594;1
68592;1
68591;1
68586;1
68583;101
68582;1
68580;101
68576;11
68570;101
68569;1
68568;101
68562;111
68561;1
68560;1
68558;16
68557;101
68556;1
68555;1
68553;101
68551;1
68548;1
68545;1
68544;11
68543;1
68537;1
68533;1
68530;1
68528;1
68525;1
68524;101
68523;1
68520;1
68519;1
68518;1
68515;1
68512;1
68511;1
68505;1
68498;1
68492;1
68490;1
68489;1
68487;1
68484;1
68483;1
68480;101
68476;1
68473;1
68472;1
68471;101
68469;1
68468;1
68465;1
68464;101
68461;1
68460;101
68457;1
68456;1
68455;101
68453;1
68450;101
68447;1
68445;1
68444;1
68442;1
68440;1
68436;1
68431;101
68430;1
68428;1
68426;1
68424;1
68421;3
68419;1
68416;1
68414;1
68412;1
68409;8
68406;1
68404;1
68403;103
68402;11
68401;1
68400;1
68398;1
68396;1
68395;1
68394;1
68393;101
68391;1
68452;1
68390;11
68388;101
68386;1
68381;3
68380;126
68376;101
68375;1
68373;1
68372;1
68369;1
68368;1
68366;16
68364;13
68360;3
68359;1
68357;1
68355;1
68354;101
68351;1
68350;1
68349;6
68347;1
68345;1
68343;1
68342;1
68339;1
68338;1
68334;1
68331;1
68330;101
68328;1
68318;3
68316;1
68315;1
68314;1
68312;3
68311;1
68310;54
68308;101
68306;1
68301;1
68297;1
68296;6
68295;1
68294;1
68292;1
68287;1
68286;101
68285;1
68284;8
68280;1
68276;1
68275;1
68274;1
68273;1
68269;1
68265;1
68262;1
68261;1
68258;1
68256;1
68254;1
68253;1
68252;1
68251;101
68250;1
68248;1
68247;101
68243;1
68241;1
68240;1
68237;1
68235;1
68233;103
68232;1
68230;3
68229;1
68225;1
68224;1
68223;1
68216;1
68215;1
68212;1
68211;101
68207;1
68206;16
68201;1
68200;1
68198;1
68197;1
68189;1
68188;1
68186;1
68185;1
68182;1
68180;1
68179;3
68174;101
68173;1
68172;3
68170;1
68169;1
68168;1
68166;1
68164;1
68161;1
68158;103
68154;1
68150;101
68148;1
68147;1
68145;1
68423;1
68143;1
68142;1
68137;1
68134;1
68133;5
68132;1
68130;1
68127;3
68126;1
68122;1
68120;1
68116;1
68112;1
68111;1
68108;1
68107;1
68104;1
68103;1
68102;1
68101;1
68098;1
68097;101
68095;1
68190;1
68094;1
68093;101
68090;1
68089;1
68088;1
68087;1
68086;101
68085;1
68081;101
68079;101
68078;3
68077;1
68075;101
68074;1
68072;1
68070;1
68069;18
68068;1
68067;1
68066;3
68065;1
68064;1
68063;1
68059;1
68057;1
68055;1
68054;1
68053;1
68052;1
68051;1
68050;1
68047;16
68046;16
68044;1
68040;1
68038;1
68036;101
68035;1
68033;1
68028;1
68024;1
68023;101
68022;1
68020;1
68019;1
68016;16
68015;1
68014;1
68012;1
68010;1
68008;1
68004;1
68001;101
67999;1
67998;1
67995;101
67994;1
67992;1
67987;1
67986;1
67984;1
67982;1
67981;1
68056;11
67978;1
67977;101
67976;1
67968;1
67967;1
67961;1
67960;1
67959;1
67958;1
67957;1
67956;101
68699;1
67949;1
67947;1
67946;1
67945;1
67942;1
67941;1
67939;101
67938;3
67937;1
67936;1
67933;1
67923;1
67922;1
67921;1
67920;1
67919;1
67918;1
67917;1
67916;16
67914;1
67913;101
67912;1
67910;1
67909;1
67908;1
67902;1
67901;1
67898;1
67897;101
67896;1
67894;1
67893;1
67892;16
67891;1
67890;1
67888;1
67885;1
67881;1
67877;1
67875;1
67874;1
67872;1
67871;1
67870;1
67869;1
67867;101
67866;1
67865;1
67864;1
67862;1
67861;1
67860;1
67856;1
67855;1
67854;1
67853;1
67852;1
67849;1
67847;101
67843;101
67842;1
67840;101
67837;1
67836;101
67835;1
67833;1
67830;101
67829;1
67828;1
67827;1
67826;1
67825;101
67822;26
67821;1
67819;1
67817;1
67814;1
67813;101
67811;1
67810;101
67809;1
67808;1
67807;101
67806;1
67805;1
67804;1
67803;1
67802;1
67801;1
67800;1
67799;1
67798;3
67796;11
67795;1
67791;1
67789;1
67786;3
67785;1
67780;1
67779;1
67777;1
67776;1
67775;1
67774;13
67772;1
67769;1
67764;1
67762;1
67761;31
67759;1
67757;1
67755;1
67754;3
67753;1
67750;1
67745;1
67743;101
67741;1
67734;1
67733;101
68305;1
67731;1
67730;1
67729;101
67728;1
67727;1
67725;101
67724;1
67723;1
67721;1
67720;101
67718;1
67717;101
67716;101
67715;1
67714;1
67712;1
67707;1
67706;1
67704;1
67703;101
67702;1
67701;1
67698;1
67695;1
67692;1
67691;1
67687;1
67684;1
67682;1
67681;1
67680;1
67679;101
67678;1
67677;1
67672;1
67669;1
67668;1
67667;1
67665;1
67664;1
67663;1
67660;1
67657;1
67656;1
67654;6
67652;1
67648;1
67645;26
67644;1
67642;1
67639;3
67638;1
67632;1
67631;1
67630;101
67629;103
67626;1
67625;1
67623;3
67620;101
67614;1
67604;24
67598;1
67595;1
67594;1
67593;1
67592;1
67591;3
67590;1
67589;3
67588;101
67587;1
67585;1
67581;6
67579;1
67575;1
67571;1
67570;101
67569;101
67567;1
67566;1
67564;1
67563;1
67562;101
67561;1
67560;1
67559;1
67558;101
67556;1
67554;1
67552;1
67551;3
67548;1
67547;104
67546;1
67545;1
67544;1
67543;1
67540;1
67538;1
67533;1
67532;125
67531;13
67529;31
67526;1
67524;1
67522;1
67521;1
67519;1
67518;1
67516;1
67515;1
67514;1
67513;1
67512;10
67502;1
67501;101
67495;1
67493;3
67491;201
67489;1
67488;1
67487;1
67486;5
67483;1
67482;1
67480;1
67479;1
67477;26
67476;1
67475;1
67474;1
67473;101
67472;1
67471;1
67469;1
67465;1
67463;1
67461;3
67460;1
67459;1
67457;101
67455;5
67452;1
67451;101
67448;1
67446;1
67445;6
67443;1
67442;1
67441;101
67437;1
67436;1
67435;1
67431;1
67430;1
67427;1
67426;1
67425;1
67421;1
67419;1
67418;1
67416;1
67412;1
67411;1
67407;1
67406;21
67405;1
67397;1
67392;1
67391;11
67390;5
67389;1
67388;1
67386;1
67385;101
67384;1
67382;3
67381;1
67380;101
67379;103
67378;1
67376;101
67372;1
67368;1
67365;1
67362;101
67361;1
67358;101
67357;1
67348;1
67347;101
67346;1
67344;81
67343;1
67341;1
67339;1
67338;15
67337;1
67335;1
67334;1
67332;1
67331;1
67330;1
67328;1
67327;1
67326;1
67324;1
67323;1
67321;1
67318;1
67317;8
67316;1
67314;1
67310;3
67306;1
67304;101
67303;1
67302;1
67301;1
67298;1
67295;3
67291;1
67289;101
67287;1
67286;3
67284;1
67281;1
67280;1
67279;1
67278;1
67273;1
68149;106
67271;1
67270;1
67269;1
67266;1
67265;13
67264;1
67263;1
67262;101
67261;13
67258;1
67253;1
68439;36
67250;1
67248;1
67246;5
67245;1
67244;103
67242;1
67241;3
67240;1
67238;101
67236;101
67233;101
67232;1
67231;1
67230;1
67226;1
67225;1
67221;1
67220;6
67215;13
67211;1
67210;1
67209;1
67206;1
67205;101
67204;1
67202;1
67198;1
67197;1
67196;1
67195;1
67194;39
67192;1
67191;1
67187;1
67185;1
